編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLTLNHLGFDJ76CC,11,84.32,集合住宅,鋼筋混凝土造,104年10月10日,七層,,
RPPNMLTLNHLGFDJ76CC,11,17.40,停車空間、防空避難室兼停車空間、管委會空間、雨遮,鋼筋混凝土造,104年10月10日,七層,,
RPPNMLTLNHLGFDJ76CC,11,17.91,樓梯間、機械室、水箱,鋼筋混凝土造,104年10月10日,七層,,
RPPNMLLJOHLGFDJ48CC,11,19.99,住宅、停車空間、樓梯間,鋼筋混凝土造,104年8月21日,四層,,
RPQNMLTLNHLGFDJ86CC,11,20.26,住宅、停車空間、樓梯間,鋼筋混凝土造,104年8月21日,四層,,
RPRNMLTLNHLGFDJ96CC,11,20.26,住宅、停車空間、樓梯間,鋼筋混凝土造,104年8月21日,四層,,
RPRNMLOJOHLGFDJ98CC,11,19.99,住宅、停車空間、樓梯間,鋼筋混凝土造,104年8月21日,四層,,
RPQNMLOJOHLGFDJ88CC,32,116.29,住家用,鋼筋混凝土造,83年8月22日,十一層,,
RPPNMLOJOHLGFDJ78CC,34,77.37,住家用,鋼筋混凝土造,81年9月15日,五層,,
RPQNMLOJOHLGFDJ88CC,32,10.58,共有部分,鋼筋混凝土造,83年8月22日,十一層,,
RPPNMLOJOHLGFDJ78CC,34,11.62,樓梯間,鋼筋混凝土造,81年9月15日,五層,,
RPQNMLOJOHLGFDJ88CC,32,15.58,共有部分,鋼筋混凝土造,83年8月22日,十一層,,
RPTNMLOJOHLGFDJ56CC,22,22.06,住家用,鋼筋混凝土造,93年7月5日,七層,,
RPTNMLOJOHLGFDJ56CC,22,3.77,停車空間,鋼筋混凝土造,93年7月5日,八層,,
RPTNMLOJOHLGFDJ56CC,22,3.58,梯間、走道,鋼筋混凝土造,93年7月5日,七層,,
RPTNMLOJOHLGFDJ56CC,22,1.81,走道,鋼筋混凝土造,93年7月5日,七層,,
RPQNMLLJOHLGFBJ38CC,19,24.80,住商用,鋼筋混凝土造,96年4月12日,四層,,
RPPNMLNJOHLGFBJ48CC,34,49.13,商業用,鋼筋混凝土造,81年1月27日,九層,,
RPPNMLNJOHLGFBJ48CC,34,14.14,共有部分,鋼筋混凝土造,81年1月27日,九層,,
RPPNMLPJOHLGFBJ68CC,25,643.20,工業用,鋼筋混凝土造,90年6月12日,七層,,
RPPNMLPJOHLGFBJ68CC,25,9.40,共有部分,鋼筋混凝土造,90年6月12日,七層,,
RPPNMLPJOHLGFBJ68CC,25,159.30,共有部分,鋼筋混凝土造,90年6月12日,七層,,
RPPNMLPJOHLGFBJ68CC,25,52.86,共有部分,鋼筋混凝土造,90年6月12日,八層,,
RPPNMLPJOHLGFBJ68CC,25,2414.30,共有部分,鋼筋混凝土造,90年6月12日,八層,,
RPPNMLMJOHLGFBJ38CC,20,30.00,住家用,鋼筋混凝土造,95年4月3日,四層,,
RPUNMLRLNHLGFBJ86CC,13,598.34,工業用,鋼筋混凝土造,102年3月18日,十層,,
RPUNMLRLNHLGFBJ86CC,13,291.77,本共有部分之項目有防空避難室、樓梯間、機械室、水箱等４項,鋼筋混凝土造,102年3月18日,十層,,
RPQNMLOJOHLGFBJ68CC,15,253.82,住家用,鋼筋混凝土造,100年2月16日,四層,,
RPUNMLRLNHLGFBJ86CC,13,69.72,本共有部分之項目有員工餐廳、訓練房舍、垃圾暫存室、員工行政中心、樓梯間、機械室、水箱等７項,鋼筋混凝土造,102年3月18日,三層,,
RPQNMLOJOHLGFBJ68CC,15,14.15,本共有部分之項目有防空避難室兼停車空間等二項,鋼筋混凝土造,100年2月16日,四層,,
RPQNMLPJOHLGFBJ78CC,19,161.42,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPQNMLRLNHLGFBJ09CC,18,89.00,商業用,鋼筋混凝土造,96年12月4日,十三層,,
RPQNMLPJOHLGFBJ78CC,19,160.01,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPQNMLPJOHLGFBJ78CC,19,189.52,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPQNMLPJOHLGFBJ78CC,19,120.95,共有部分,鋼筋混凝土造,96年6月7日,十層,,
RPQNMLPJOHLGFBJ78CC,19,41.88,共有部分,鋼筋混凝土造,96年6月7日,十層,,
RPRNMLQLNHLGFBJ09CC,2,156.50,工廠,鋼筋混凝土造,112年12月7日,十層,,
RPRNMLQLNHLGFBJ09CC,2,72.23,本共有部分之項目有管委會、停車空間、梯間、機房、水箱等五項。,鋼筋混凝土造,112年12月7日,十層,,
RPRNMLQLNHLGFBJ09CC,2,57.99,本共有部分之項目有停車空間、防空避難室、機房等三項。,鋼筋混凝土造,112年12月7日,十層,,
RPQNMLLKOHLGFBJ48CC,27,181.82,住家用,鋼筋混凝土造,88年5月27日,四層,,
RPPNMLOJOHLGFDJ88DC,2,80.06,集合住宅,鋼筋混凝土造,112年12月29日,九層,,
RPPNMLOJOHLGFDJ88DC,2,43.32,本共有部分之項目有防空避難室兼停車空間、停車空間、管委會空間等３項,鋼筋混凝土造,112年12月29日,九層,,
RPPNMLKKOHLGFBJ28CC,3,42.00,集合住宅,鋼筋混凝土造,111年12月1日,七層,,
RPPNMLOJOHLGFDJ88DC,2,17.92,本共有部分之項目有梯間、機房、水箱等３項,鋼筋混凝土造,112年12月29日,九層,,
RPPNMLKKOHLGFBJ28CC,3,80.76,本共有部分之項目有停車空間、梯間、蓄水池、消防泵浦室、雨水回收機房兼汙水機房、機房、溫泉機房、台電配電室、發電機室、垃圾處理室、管委會使用空間、交誼室、游泳池、電信機房、警衛室、水箱等十六項。,鋼筋混凝土造,111年12月1日,七層,,
RPSNMLLKOHLGFBJ68CC,2,74.23,集合住宅,鋼筋混凝土造,113年3月14日,九層,,
RPSNMLLKOHLGFBJ68CC,2,61.27,本共有部分之項目有防空避難室兼停車空間、停車空間、梯廳、管委會空間、樓梯間、水箱/機房等六項。,鋼筋混凝土造,113年3月14日,九層,,
RPRNMLKKOHLGFBJ48CC,21,21.85,商業用,鋼筋混凝土造,94年10月28日,七層,,
RPRNMLKKOHLGFBJ48CC,21,9.44,共有部分,鋼筋混凝土造,94年10月28日,七層,,
RPRNMLPKOHLGFBJ98CC,3,60.54,集合住宅,鋼筋混凝土造,112年8月7日,十一層,,
