編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLNJOHLGFDK68DA,坡道平面,0,29.46,地下一樓
RPPNMLNJOHLGFDK68DA,坡道平面,0,29.46,地下一樓
RPTNMLMKOHLGFDK09DA,一樓平面,0,28.08,一樓
RPRNMLKKOHLGFBK48DA,坡道平面,0,15.23,地下一樓
RPRNMLQKOHLGFFK86DA,坡道平面,0,33.91,地下三樓
RPPNMLNKNHLGFDK68DA,坡道平面,0,,一樓
RPTNMLMLOHLGFBK98DA,一樓平面,0,,一樓
RPQNMLKKOHLGFCK48DA,坡道平面,0,,地下一樓
RPRNMLSJOHLGFFK96DA,坡道平面,0,27.15,地下一樓
RPTNMLKKOHLGFFK09DA,坡道平面,0,32.88,地下二樓
RPQOMLPKOHLGFDK56DA,坡道平面,1650000,34.86,地下二樓
RPQNMLSLMHLGFFK86DA,坡道平面,0,31.26,地下一樓
RPSNMLNJOHLGFBK78DA,坡道平面,0,30.02,地下二樓
RPQNMLNLOHLGFBK78DA,一樓平面,0,,一樓
RPUNMLMLOHLGFBK09DA,一樓平面,0,,一樓
RPPNMLMKOHLGFFK88DA,坡道平面,0,29.42,地下五樓含以下
RPRNMLRKNHLGFBK09DA,坡道平面,0,,一樓
RPVNMLMLOHLGFDK76DA,坡道平面,0,21.02,地下一樓
RPWNMLRKOHLGFFK47DA,坡道平面,1200000,34.47,地下一樓
RPWNMLRKOHLGFFK47DA,坡道平面,1200000,34.47,地下一樓
RPQOMLMLOHLGFFK56DA,一樓平面,0,,一樓
RPVNMLRKOHLGFFK37DA,一樓平面,0,,一樓
RPOOMLKKOHLGFDK48DA,一樓平面,0,,一樓
RPSNMLQKOHLGFDK76DA,一樓平面,0,,一樓
RPUNMLKKOHLGFDK98DA,一樓平面,0,,一樓
RPPOMLPKOHLGFDK09DA,坡道平面,1550000,34.86,地下三樓
RPOOMLPKOHLGFDK98DA,坡道平面,1500000,33.69,地下三樓
RPPPMLKKOHLGFDK68DA,坡道平面,1550000,34.86,地下三樓
RPVNMLKKOHLGFDK09DA,一樓平面,0,,一樓
RPPNMLSKOHLGFDK66DA,坡道平面,1700000,27.89,地下二樓
RPRNMLMKNHLGFDK78DA,坡道平面,1670000,27.89,地下二樓
RPWOMLKKOHLGFDK66DA,一樓平面,0,,一樓
RPTOMLKKOHLGFDK98DA,一樓平面,0,,一樓
RPUOMLKKOHLGFDK09DA,一樓平面,0,,一樓
RPVOMLKKOHLGFDK56DA,一樓平面,0,,一樓
RPVNMLNLOHLGFDK86DA,坡道平面,1400000,29.46,地下三樓
RPPOMLKKOHLGFDK58DA,坡道平面,1550000,29.18,地下三樓
RPOPMLKKOHLGFDK58DA,坡道平面,1650000,34.86,地下二樓
RPROMLKKOHLGFDK78DA,坡道平面,1700000,27.89,地下二樓
RPUNMLKMMHLGFFK56DA,坡道平面,0,29.42,地下三樓
RPWNMLLKLHLGFDK98DA,坡道平面,1400000,27.89,地下二樓
