鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹南鎮,租賃房屋,苗栗縣竹南鎮大埔六街８２巷３號（４樓）,0.0,,,,1150523,土地0建物0車位0,全,7,透天厝,停車空間、住宅、梯間、水箱、機房,鋼筋混凝土造,1121017,38.31,6,0,6,有,無,有,13500,352,,0.0,0,含機車位一個多人共同承租2；租金總額含管理費；水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPPNMLNLNHLGFDK88CC,分租套房,無,1150524~1160531,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,
竹南鎮,租賃房屋,苗栗縣竹南鎮大埔一街２１巷７號,71.54,住,,,1150525,土地2建物1車位0,全,4,透天厝,住宅、停車空間,鋼筋混凝土造,1040129,216.53,4,2,3,有,無,有,28000,129,,0.0,0,,RPUNMLPLNHLGFDK96CC,整棟(戶)出租,無,1150601~1160531,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,
竹南鎮,租賃房屋,苗栗縣竹南鎮博愛街６號,0.0,,,,1150521,土地0建物1車位0,全,3,透天厝,住宅,鋼筋混凝土造,0951113,103.04,2,1,2,有,無,無,30000,291,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPPNMLQLNHLGFDK56CC,,無,1150601~1200531,無,瓦斯或天然氣,
竹南鎮,租賃房屋,苗栗縣竹南鎮博愛街６號,0.0,,,,1150521,土地0建物1車位0,全,3,透天厝,住宅,鋼筋混凝土造,0951113,58.25,0,0,0,無,無,無,8000,137,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPQNMLQLNHLGFDK66CC,分層出租,無,1150601~1200531,無,瓦斯或天然氣,
竹南鎮,租賃房屋+車位,苗栗縣竹南鎮龍昇街１１９巷５號四樓之一,0.0,,,,1150525,土地0建物1車位1,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1141008,119.71,3,2,2,有,有,有,23000,192,一樓平面,0.0,0,,RPSNMLQLNHLGFDK86CC,整棟(戶)出租,無,1150601~1160531,有,冷氣、熱水器、冰箱,
頭份市,租賃房屋,苗栗縣頭份市上埔里４鄰中正一路１８１巷１６號２樓之１,0.0,,,,1150522,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1060510,51.56,2,2,1,有,有,有,12000,233,,0.0,0,租金總額含網路費；續租案件；,RPQNMLQLNHLGFFK86CC,整棟(戶)出租,有,1150610~1160609,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,社會住宅包租轉租
頭份市,租賃房屋,苗栗縣頭份市後庄里２鄰文林路１２０號４樓之１,0.0,,,,1150522,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,ＲＣ造,1020703,130.21,2,2,2,有,有,有,16400,126,,0.0,0,未租賃車位，建物登記含有車位面積；續租案件；,RPRNMLQLNHLGFFK96CC,整棟(戶)出租,有,1150610~1160609,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
後龍鎮,租賃房屋,苗栗縣後龍鎮埔頂里１９鄰中華路１０１３巷１４６號,0.0,,,,1150522,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0890608,126.66,3,2,3,有,有,有,15000,118,,0.0,0,續租案件；,RPPNMLRLNHLGFDK66CC,整棟(戶)出租,有,1150601~1160531,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
苑裡鎮,租賃房屋,苗栗縣苑裡鎮信義路８３號,69.91,商,,,1150525,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0870622,26.44,1,0,1,有,無,有,6500,246,,0.0,0,租金總額含水費；網路費；,RPPNMLTLNHLGFCK76CC,獨立套房,無,1150529~1160528,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,
