鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中寮鄉,房地(土地+建物),南投縣中寮鄉永平路４４１之１１號,82.68,,鄉村區,乙種建築用地,1150602,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0920422,169.94,4,1,3,有,無,6200000,36483,,0.0,0,,RPPNMLOKOHLGFAM78DA,146.99,0.0,22.95,無,001
草屯鎮,土地,富頂段719-2地號,12235.25,,山坡地保育區,林業用地,1150603,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6200000,507,,0.0,0,農作物；,RPTUMLQKOHLGFBM57DA,0.0,0.0,0.0,無,
草屯鎮,土地,富頂段723地號,1245.3,,山坡地保育區,丙種建築用地,1150603,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2890000,2321,,0.0,0,,RPOVMLQKOHLGFBM17DA,0.0,0.0,0.0,無,
草屯鎮,土地,富頂段720地號,9008.21,,山坡地保育區,林業用地,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7000000,777,,0.0,0,農作物；,RPPVMLQKOHLGFBM27DA,0.0,0.0,0.0,無,
草屯鎮,土地,富頂段722地號,6922.22,,山坡地保育區,農牧用地,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3510000,507,,0.0,0,農作物；,RPOUMLQKOHLGFBM07DA,0.0,0.0,0.0,無,
竹山鎮,土地,文田段6-3地號,85.47,,山坡地保育區,丙種建築用地,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,140000,1638,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLKOHLGFDM78DA,0.0,0.0,0.0,無,
水里鄉,土地,社子段2576-6地號,17981.0,,山坡地保育區,農牧用地,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7200000,400,,0.0,0,未登記建物；農業設施；,RPRNMLQKOHLGFEM96DA,0.0,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市建國路１２１巷７弄８號,78.44,住,,,1150606,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1140320,171.54,4,2,5,有,無,15100000,88026,,0.0,0,陽台外推；,RPQNMLTJOHLGFAM66DA,156.72,0.0,14.82,無,
名間鄉,土地,名松段890地號,327.41,,鄉村區,乙種建築用地,1150615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3564000,10885,,0.0,0,,RPQNMLPKOHLGFAM98DA,0.0,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市平山一路三街６６號,17.26,住,,,1150612,土地1建物1車位0,一層，二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870414,81.30999999999999,0,0,0,無,無,3100000,38126,,0.0,0,,RPPNMLRKOHLGFAM09DA,54.86,4.73,4.73,有,002
草屯鎮,土地,新埔段833地號,175.16,,鄉村區,乙種建築用地,1150601,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,17127,,0.0,0,,RPQNMLPJOHLGFBM98DA,0.0,0.0,0.0,無,
魚池鄉,土地,新興段177地號,268.57,,鄉村區,乙種建築用地,1150615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3200000,11915,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOLOHLGFCM56DA,0.0,0.0,0.0,無,
鹿谷鄉,建物,南投縣鹿谷鄉中寮路３之１號、３之２號、３之３號,0.0,,,,1150610,土地0建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,1131227,62.76,4,3,4,有,無,1660000,26450,,0.0,0,建物坐落地號：石城段484地號；親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSKOHLGFDM86DA,62.75,0.0,0.0,無,
鹿谷鄉,土地,隆鳳段1179地號,62.85,農,,,1150612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,95000,1512,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOLOHLGFDM66DA,0.0,0.0,0.0,無,003
南投市,房地(土地+建物),南投縣南投市復興路７１１巷２弄１８號,144.85,住,,,1150602,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1060125,611.3399999999999,6,2,6,有,有,27000000,44165,,0.0,0,其他增建；,RPTNMLOJOHLGFAM09DA,482.55,9.76,35.21,有,004
南投市,車位,南投縣南投市彰南路一段８４９號等７４戶公共設施,0.0,,,,1150611,土地0建物1車位1,,,其他,,,,29.9,0,0,0,無,有,1200000,,坡道平面,0.0,1200000,建物坐落地號：三塊厝段66地號；僅車位交易；,RPQNMLSKOHLGFAM66DA,0.0,0.0,0.0,有,005
草屯鎮,房地(土地+建物),南投縣草屯鎮自由街５５號十一樓之１１,3.66,商,,,1150606,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840927,45.61,1,1,1,有,有,2550000,55909,,0.0,0,,RPRUMLQKOHLGFBM37DA,28.26,0.0,5.36,有,006
草屯鎮,土地,新豐段280-9地號,60.66,,特定農業區,甲種建築用地,1150608,土地4建物1車位0,一層，二層，三層,三層,其他,集合住宅,ＲＣ造,1150427,100.29,3,2,3,無,無,9980000,164524,,0.0,0,,RPPNMLNLOHLGFBM88DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物),南投縣草屯鎮中正路２５３之２５巷２０弄１１號,96.22,,鄉村區,乙種建築用地,1150611,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0890321,161.42,4,3,3,有,無,5500000,34073,,0.0,0,頂樓加蓋；其他增建；,RPSNMLNLOHLGFBM56DA,153.0,0.0,8.42,無,
名間鄉,土地,南大庄段580地號,171.7,住,,,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1013015,5900,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNLOHLGFAM98EA,0.0,0.0,0.0,無,
仁愛鄉,土地,東眼山段68地號,20771.0,,森林區,林業用地,1150617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1450000,70,,0.0,0,原住民保留地,RPPNMLTLOHLGFCM96DA,0.0,0.0,0.0,無,
中寮鄉,土地,福山段857地號,4044.0,,山坡地保育區,農牧用地,1150610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,606600,150,,0.0,0,,RPQNMLPLOHLGFAM09DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物),南投縣草屯鎮太平路二段９６號,19.86,住,,,1150519,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0780704,38.16,4,2,3,有,無,2000000,52411,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLNJOHLGFBM88DA,36.4,0.0,1.76,無,
埔里鎮,房地(土地+建物),南投縣埔里鎮青田三街２７巷１號,83.7,住,,,1150529,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0980115,205.77,5,2,6,有,無,12000000,58318,,0.0,0,頂樓加蓋；,RPTNMLOJOHLGFCM66DA,173.3,8.4,24.07,無,
竹山鎮,土地,番子田段238地號,26161.0,,山坡地保育區,農牧用地,1150528,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8000000,306,,0.0,0,,RPTNMLRKOHLGFDM17DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物),南投縣草屯鎮稻香路１０３之２０號,104.52,,特定農業區,甲種建築用地,1150525,土地3建物1車位0,全,三層,透天厝,住家用,ＲＣ造,1150427,108.57,3,2,3,有,無,14880000,137054,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPNMLTJOHLGFBM66DA,105.44,0.0,3.13,無,
埔里鎮,土地,北環段592地號,9.0,都市：其他:道路用地,,,1150522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,381249,42361,,0.0,0,,RPPNMLQKOHLGFCM56DA,0.0,0.0,0.0,無,
埔里鎮,土地,北環段582地號,377.44,,,,1150522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15983351,42347,,0.0,0,,RPQNMLQKOHLGFCM66DA,0.0,0.0,0.0,無,
埔里鎮,土地,愛蘭段1179地號,92.17,,鄉村區,乙種建築用地,1150520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2380000,25822,,0.0,0,,RPRNMLSKOHLGFCM96DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物),南投縣埔里鎮漢中街３３號,115.34,住,,,1150522,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830121,183.5,7,2,4,有,無,8150000,44414,,0.0,0,包含公共設施保留地用地；,RPSNMLSKOHLGFCM07DA,183.5,0.0,0.0,無,
魚池鄉,土地,大林段131-8地號,2383.0,,特定農業區,農牧用地,1150514,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4986572,2093,,0.0,0,,RPUNMLSKOHLGFCM27DA,0.0,0.0,0.0,無,
南投市,房地(土地+建物)+車位,南投縣南投市東山路４４３巷４０號,87.36,,鄉村區,乙種建築用地,1150529,土地1建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0831007,218.64,4,3,3,有,有,7500000,34303,坡道平面,0.0,0,,RPPNMLSKOHLGFAM66EA,152.28,11.1,10.13,無,
草屯鎮,房地(土地+建物),南投縣草屯鎮敦和路１１５之１６號,94.41,住,,,1150511,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1140604,176.31,4,3,3,有,無,18180000,103114,,0.0,0,,RPPNMLRKOHLGFBM66EA,152.59,0.0,23.72,無,
