編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLSKOHLGFAM66EA,坡道平面,0,,地下一樓
RPPNMLOLOHLGFAM98EA,一樓平面,0,,一樓
RPQNMLSKOHLGFAM66DA,坡道平面,1200000,,地下二樓
RPPNMLMLOHLGFBM78DA,坡道平面,0,33.40,地下二樓
RPPNMLRKOHLGFBM56DA,坡道平面,0,,地下一樓
RPWUMLQKOHLGFBM87DA,坡道機械,650000,24.73,地下二樓
RPPNMLRKOHLGFDM76DA,坡道平面,1000000,29.59,地下一樓
RPSNMLRKOHLGFDM07DA,坡道平面,920000,29.59,地下一樓
RPPNMLPLOHLGFDM66DA,一樓平面,0,,一樓
RPVPMLQKOHLGFBM27DA,坡道平面,1150000,53.07,地下一樓
RPVQMLQKOHLGFBM37DA,坡道機械,500000,24.73,地下二樓
RPSOMLQKOHLGFBM86DA,坡道機械,650000,24.73,地下二樓
RPRRMLQKOHLGFBM07DA,坡道機械,650000,24.73,地下二樓
RPQRMLQKOHLGFBM96DA,坡道平面,1000000,53.07,地下二樓
RPRQMLQKOHLGFBM96DA,坡道平面,1150000,53.07,地下一樓
RPXRMLQKOHLGFBM67DA,坡道機械,650000,24.73,地下二樓
RPUOMLQKOHLGFBM07DA,坡道平面,1150000,53.07,地下一樓
RPROMLQKOHLGFBM76DA,坡道平面,1150000,53.07,地下一樓
RPVOMLPKMHLGFBM86DA,坡道平面,0,,地下二樓
RPTQMLQKOHLGFBM17DA,坡道平面,1150000,53.07,地下一樓
RPVUMLQKOHLGFBM77DA,坡道平面,1150000,53.07,地下一樓
RPTOMLQKOHLGFBM96DA,坡道平面,1150000,53.07,地下一樓
RPWPMLQKOHLGFBM37DA,坡道平面,1150000,53.07,地下一樓
RPTRMLQKOHLGFBM27DA,坡道機械,500000,24.73,地下二樓
RPSQMLQKOHLGFBM07DA,坡道平面,1150000,53.07,地下一樓
RPQOMLQKOHLGFBM66DA,坡道平面,1150000,53.07,地下一樓
RPXTMLQKOHLGFBM87DA,坡道平面,1150000,53.07,地下一樓
RPRNMLQKOHLGFBM66DA,坡道平面,1150000,53.07,地下一樓
RPQNMLRKOHLGFDM86DA,坡道平面,920000,29.59,地下一樓
RPRPMLQKOHLGFBM86DA,坡道平面,1150000,53.07,地下一樓
RPXQMLQKOHLGFBM57DA,坡道機械,500000,24.73,地下二樓
RPUVMLQKOHLGFBM77DA,坡道機械,650000,24.73,地下二樓
RPQUMLQKOHLGFBM27DA,坡道機械,500000,24.73,地下二樓
RPRNMLRKOHLGFDM96DA,坡道平面,920000,29.59,地下一樓
RPWQMLQKOHLGFBM47DA,坡道機械,650000,24.73,地下二樓
RPPOMLQKOHLGFBM56DA,坡道平面,1000000,53.07,地下二樓
RPVOMLQKOHLGFBM17DA,坡道平面,1000000,53.07,地下二樓
RPWOMLQKOHLGFBM27DA,坡道平面,1150000,53.07,地下一樓
RPORMLQKOHLGFBM76DA,坡道機械,500000,24.73,地下一樓
RPQTMLQKOHLGFBM17DA,坡道平面,1150000,53.07,地下一樓
RPSRMLQKOHLGFBM17DA,坡道平面,1000000,53.07,地下二樓
RPQSMLQKOHLGFBM07DA,坡道平面,1000000,53.07,地下二樓
RPWRMLQKOHLGFBM57DA,坡道機械,650000,24.73,地下二樓
RPPPMLQKOHLGFBM66DA,坡道平面,1150000,53.07,地下一樓
RPOTMLQKOHLGFBM96DA,坡道機械,500000,24.73,地下二樓
RPXOMLQKOHLGFBM37DA,坡道平面,1150000,53.07,地下一樓
RPQQMLQKOHLGFBM86DA,坡道平面,1150000,53.07,地下一樓
RPOPMLQKOHLGFBM56DA,坡道平面,1000000,53.07,地下二樓
RPPTMLQKOHLGFBM07DA,坡道機械,650000,24.73,地下二樓
RPSPMLQKOHLGFBM96DA,坡道平面,1000000,53.07,地下二樓
RPOQMLQKOHLGFBM66DA,坡道平面,1150000,53.07,地下二樓
RPRNMLPJOHLGFBM09DA,坡道平面,1150000,36.84,地下二樓
RPTVMLQKOHLGFBM67DA,坡道平面,1000000,53.07,地下二樓
RPUSMLQKOHLGFBM47DA,坡道機械,500000,24.73,地下二樓
RPSNMLPJOHLGFBM56DA,坡道平面,1100000,36.84,地下二樓
RPSTMLQKOHLGFBM37DA,坡道機械,500000,24.73,地下二樓
RPQPMLQKOHLGFBM76DA,坡道平面,1000000,53.07,地下二樓
RPWTMLQKOHLGFBM77DA,坡道平面,1150000,53.07,地下一樓
RPTNMLPJOHLGFBM66DA,坡道平面,1150000,36.84,地下二樓
RPTTMLQKOHLGFBM47DA,坡道機械,650000,24.73,地下二樓
RPXPMLQKOHLGFBM47DA,坡道平面,1000000,53.07,地下二樓
RPRTMLQKOHLGFBM27DA,坡道機械,500000,24.73,地下二樓
RPTSMLQKOHLGFBM37DA,坡道機械,500000,24.73,地下二樓
