編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLLJOHLGFAM68CC,28,101.38,住家用,鋼筋混凝土造,87年3月6日,九層,,
RPRNMLLJOHLGFAM68CC,28,12.33,梯間、管理員室、水箱、機械間,鋼筋混凝土造,87年3月6日,九層,,
RPRNMLLJOHLGFAM68CC,28,14.26,停車空間,鋼筋混凝土造,87年3月6日,九層,,
RPPNMLTKOHLGFAM76CC,1,79.01,集合住宅,鋼筋混凝土造,113年12月16日,七層,,
RPQNMLMJOHLGFAM68CC,21,203.52,住家用,鋼筋混凝土造,94年7月14日,四層,,
RPPNMLTKOHLGFAM76CC,1,57.37,公共設施〔梯廳、梯間、停車空間、消防發電機室、水箱、雨汙水機房、防空避難室兼停車空間、電信室、台電配電室、管理委員會使用空間、門廳、停車空間、車道、公共設施、水箱、電梯機械室等１６項〕,鋼筋混凝土造,113年12月16日,七層,,
RPPNMLTKOHLGFAM76CC,1,10.24,梯廳、梯間,鋼筋混凝土造,113年12月16日,七層,,
RPQNMLLJOHLGFAM58CC,33,34.08,住商用,鋼筋混凝土造,82年7月31日,四層,,
RPPNMLLJOHLGFAM48CC,55,72.35,住家用,鋼筋混凝土加強磚造,60年9月20日,二層,,
RPQNMLOLOHLGFAM09CC,32,178.33,住家用,鋼筋混凝土造,83年3月31日,四層,,
RPPNMLOLOHLGFAM98CC,1,78.91,集合住宅,鋼筋混凝土造,114年8月29日,七層,,
RPQNMLOLOHLGFAM09CC,32,1.39,辦公室,鋼筋混凝土造,83年3月31日,四層,,
RPPNMLOLOHLGFAM98CC,1,64.99,台電配電室、消防機房兼發電機室、電信室、停車空間、防空避難室、管理委員會空間、梯廳、樓梯間、電梯、水塔間、昇降機房等１１項,鋼筋混凝土造,114年8月29日,七層,,
RPSNMLLKOHLGFBM98CC,11,23.72,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPSNMLLKOHLGFBM98CC,11,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLOLOHLGFBM09CC,3,36.14,集合住宅,鋼筋混凝土造,112年6月1日,五層,,
RPPNMLOLOHLGFBM09CC,3,23.13,本共有部分之項目有自設防空避難室兼機車停車空間、梯廳、安全梯及無障礙樓梯、台電配電室、機房及梯間等６項,鋼筋混凝土造,112年6月1日,五層,,
RPPNMLLKOHLGFBM68CC,11,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLLKOHLGFBM68CC,11,14.04,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLLJOHLGFBM78CC,11,24.09,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPTNMLPJOHLGFBM76CC,48,8.11,住家用,鋼筋混凝土加強磚造,67年11月25日,二層,,
RPQNMLLJOHLGFBM68CC,11,23.72,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLMJOHLGFBM78CC,1,48.34,集合住宅,ＲＣ造,114年6月25日,五層,,
RPPNMLPJOHLGFBM98CC,11,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLNLOHLGFDM56CC,31,80.96,集合住宅,鋼筋混凝土造,84年4月8日,六層,,
RPQNMLLJOHLGFBM68CC,11,13.67,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPTNMLLKOHLGFBM09CC,11,23.72,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLMJOHLGFBM78CC,1,14.46,本共有部分之項目有停車空間、昇降機機道、樓梯間、梯廳、電信室及水箱等６項,ＲＣ造,114年6月25日,五層,,
RPPNMLPJOHLGFBM98CC,11,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLNLOHLGFDM56CC,31,.37,守衛室、會客室兼圖書室等公共設施,鋼筋混凝土造,84年4月8日,六層,,
RPTNMLLKOHLGFBM09CC,11,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLNLOHLGFDM56CC,31,.37,遊憩室兼社區聯誼會議室等公共設施,鋼筋混凝土造,84年4月8日,六層,,
RPQNMLNJOHLGFBM88CC,30,80.92,住家用,鋼筋混凝土造,85年6月13日,九層,,
RPPNMLMJOHLGFBM68CC,53,85.91,住家用,鋼筋混凝土加強磚造,62年11月19日,二層,,
RPSNMLPJOHLGFBM66CC,47,8.11,住家用,鋼筋混凝土加強磚造,67年11月25日,二層,,
RPRNMLLJOHLGFBM78CC,11,13.76,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLNLOHLGFDM56CC,31,21.69,避難室、停車場、樓梯間等公共設施,鋼筋混凝土造,84年4月8日,六層,,
