編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXNMLPKOHLGFBN27DA,,59.73,集合住宅,鋼筋混凝土造,115年1月5日,九層,六層 陽台,全筆移轉
RPXNMLPKOHLGFBN27DA,,26.78,本共有部分項目有：停車空間、台電配電室、汙水雨水機房、水塔間、梯廳、消防發電機房、電信機房、電梯、室內安全梯、車道、公共服務空間、門廊、樓梯間、水箱等１４項,鋼筋混凝土造,115年1月5日,九層,,持分移轉
RPSNMLRJOHLGFBN86DA,2,169.52,住宅、停車空間,鋼筋混凝土造,113年7月16日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPSNMLSKOHLGFGN57DA,50,86.40,住家用,加強磚造,65年7月9日,二層,一層 二層,全筆移轉
RPRNMLQKOHLGFGN27DA,32,195.86,住家用,鋼筋混凝土造,82年12月15日,五層,一層 二層 三層 四層 五層 陽台 平台,全筆移轉
RPRNMLMKOHLGFGN86DA,30,203.16,住家用,鋼筋混凝土造,85年4月16日,三層,一層 二層 三層 陽台 騎樓 電梯樓梯間,全筆移轉
RPPOMLQKOHLGFAN56DA,45,113.16,住商用,鋼筋混凝土造,70年2月3日,三層,一層 二層 三層,全筆移轉
RPSOMLRKOHLGFAN96DA,46,118.68,住商用,鋼筋混凝土造,69年9月30日,三層,一層 二層 三層,全筆移轉
RPSOMLMLOHLGFAN56DA,44,98.40,住商用,加強磚造,71年6月28日,二層,一層 二層,全筆移轉
RPQNMLQKOHLGFFN07DA,2,185.56,住宅,鋼筋混凝土造,113年1月15日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPRNMLPLOHLGFCN86DA,27,58.22,避難室兼停車空間，雨遮，梯間，機械室，水箱,鋼筋混凝土造,88年1月14日,八層,,持分移轉
RPRNMLPLOHLGFCN86DA,27,101.85,集合住宅,鋼筋混凝土造,88年1月14日,八層,三層 陽台,全筆移轉
RPUNMLOLOHLGFDN17DA,42,116.80,住家用,鋼筋混凝土造,73年10月26日,三層,一層 二層 三層,全筆移轉
RPVRMLRKOHLGFAN57DA,2,151.38,住宅、樓梯間,鋼筋混凝土造,113年10月23日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPQNMLTJOHLGFDN07DA,,280.74,停車空間、住宅、樓梯間,鋼筋混凝土造,114年11月11日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPRNMLMKOHLGFBN98DA,1,24.38,集合住宅,鋼筋混凝土造,114年7月29日,五層,四層,全筆移轉
RPRNMLMKOHLGFBN98DA,1,12.50,人行道、機電空間、安全梯、梯廳、昇降機、樓梯間,鋼筋混凝土造,114年7月29日,五層,,持分移轉
RPPNMLMKOHLGFCN88DA,14,219.14,店舖；住宅,鋼筋混凝土造,101年6月1日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLMKOHLGFCN88DA,14,.18,電信室,鋼筋混凝土造,101年6月1日,一層,,持分移轉
RPSNMLOLOHLGFGN27DA,1,757.89,農作產銷設施－集貨及包裝場所等,鋼骨造,114年8月28日,一層,一層,全筆移轉
RPRNMLPJOHLGFAN09DA,4,186.31,樓梯間、停車空間、住宅,鋼筋混凝土造,111年5月23日,三層,一層 二層 三層 陽台 地下一層 見其他登記事項,全筆移轉
RPRNMLPJOHLGFAN09DA,4,25.04,機械室、公共梯間、車道空間、停車空間、樓梯間,鋼筋混凝土造,111年5月23日,四層,,持分移轉
RPSNMLPJOHLGFAN56DA,44,152.32,住商用,鋼筋混凝土造,70年12月30日,三層,一層 二層 三層,全筆移轉
RPUNMLNJOHLGFCN76DA,1,59.23,集合住宅,鋼筋混凝土造,114年9月24日,五層,五層 陽台,全筆移轉
RPUNMLNJOHLGFCN76DA,1,28.59,管委會空間停車空間、樓梯間、樓梯間水塔,鋼筋混凝土造,114年9月24日,五層,,持分移轉
RPWNMLPLNHLGFDN37DA,1,165.72,住宅,鋼筋混凝土造,114年6月12日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLMLOHLGFBN98DA,2,180.75,住宅、停車空間、樓梯間,鋼筋混凝土造,113年7月15日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPPNMLSKOHLGFEN07DA,35,162.77,住家用,鋼筋混凝土造,80年2月6日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPUNMLMKOHLGFAN56DA,45,81.24,住家用,鋼筋混凝土造,69年12月29日,五層,五層,全筆移轉
RPQNMLSKOHLGFGN37DA,8,198.37,住宅　停車空間,鋼筋混凝土造,107年9月25日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQNMLOLOHLGFHN17DA,2,151.79,住家用,鋼筋混凝土造,113年7月4日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPTNMLQKOHLGFHN57DA,31,78.20,住家用,鋼筋混凝土造,84年5月8日,八層,八層 陽台 花台,全筆移轉
RPTNMLQKOHLGFHN57DA,31,42.54,共用部份,鋼筋混凝土造,84年5月8日,八層,,持分移轉
RPPNMLMKOHLGFFN56DA,14,274.57,住宅,鋼筋混凝土造,101年10月19日,三層,一層 二層 三層 騎樓 見其他登記事項,全筆移轉
RPPNMLMLOHLGFGN76DA,46,141.45,住商用,鐵筋加強磚造,68年12月26日,三層,一層 二層 三層,全筆移轉
RPPNMLMLOHLGFCN98DA,1,164.01,住宅、樓梯間,鋼筋混凝土造,114年11月17日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPSNMLTLNHLGFCN27DA,45,111.80,住商用,加強磚造,70年4月28日,二層,一層 二層 騎樓,全筆移轉
RPQNMLMLOHLGFCN09DA,1,181.77,住宅、樓梯間,鋼筋混凝土造,114年11月17日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPVNMLSKOHLGFGN87DA,10,289.52,住家用,鋼筋混凝土造,104年12月30日,三層,一層 二層 三層 陽台,全筆移轉
RPWRMLRKOHLGFAN67DA,31,87.00,住家用,鋼筋混凝土造,84年7月4日,十二層,十一層 陽台 花台,全筆移轉
RPWRMLRKOHLGFAN67DA,31,23.23,避難室、停車空間、梯間、門廳,鋼筋混凝土造,84年7月4日,十二層,,持分移轉
RPSNMLOLOHLGFAN66DA,36,79.91,住家用,鋼筋混凝土造,79年11月5日,七層,二層 陽台,全筆移轉
RPSNMLOLOHLGFAN66DA,36,12.80,避難室、梯間,鋼筋混凝土造,79年11月5日,七層,,持分移轉
RPSNMLMLOHLGFBN56DA,2,205.09,住宅、停車空間,鋼筋混凝土造,113年9月24日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLSKOHLGFDN96DA,33,126.63,住家用,鋼筋混凝土造,82年10月1日,三層,一層 二層 三層,全筆移轉
RPRNMLTKNHLGFAN86DA,26,99.97,住家用,鋼筋混凝土造,89年10月20日,十四層,十層 陽台 雨遮,全筆移轉
RPRNMLTKNHLGFAN86DA,26,56.78,停車空間、梯間、防空避難室兼停車場、開放空間、游泳池、梯間機械室、水箱,鋼筋混凝土造,89年10月20日,十四層,,持分移轉
RPTNMLMLOHLGFDN86DA,50,36.52,住家用,鋼筋混凝土加強磚造,65年2月27日,四層,一層,全筆移轉
