編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLRKOHLGFAN76CB,新中庄段,6.62,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2091,持分移轉,11630000
RPRNMLRKOHLGFAN76CB,新中庄段,59.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,37580,持分移轉,11630001
RPRNMLRKOHLGFAN76CB,新中庄段,15.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1118,持分移轉,11730000
RPPNMLMLNHLGFHN76CB,新水段,92.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3468,持分移轉,08640000
RPPNMLMLNHLGFHN76CB,新水段,.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3468,持分移轉,08640008
RPPNMLLLOHLGFAN68CB,大埔段,2.32,都市：商,10000,51,持分移轉,05430194
RPPNMLLLOHLGFAN68CB,大埔段,.03,都市：商,10000,51,持分移轉,05430195
RPPNMLLLOHLGFAN68CB,大埔段,.13,都市：商,10000,51,持分移轉,05430200
RPPNMLLLOHLGFAN68CB,大埔段,6.62,都市：商,10000,51,持分移轉,05440000
RPPNMLLLOHLGFAN68CB,大埔段,.05,都市：商,10000,51,持分移轉,05440045
RPPNMLLLOHLGFAN68CB,大埔段,5.46,都市：商,10000,51,持分移轉,05450000
RPPNMLLLOHLGFAN68CB,大埔段,1.28,都市：商,10000,51,持分移轉,05460070
RPPNMLRKOHLGFAN56CB,新中庄段,100.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,10293,持分移轉,11740000
RPPNMLSJOHLGFAN56CB,牛稠子段山腳小段,1.45,都市：住,10000,47,持分移轉,03540000
RPPNMLSJOHLGFAN56CB,牛稠子段山腳小段,1.93,都市：住,10000,47,持分移轉,03540001
RPPNMLSJOHLGFAN56CB,牛稠子段山腳小段,2.90,都市：住,10000,47,持分移轉,03540002
RPPNMLSJOHLGFAN56CB,牛稠子段山腳小段,1.45,都市：住,10000,47,持分移轉,03540003
RPPNMLSJOHLGFAN56CB,牛稠子段山腳小段,7.64,都市：住,10000,47,持分移轉,03550000
RPPNMLSJOHLGFAN56CB,牛稠子段山腳小段,.05,都市：住,10000,47,持分移轉,03550001
RPPNMLSJOHLGFAN56CB,牛稠子段山腳小段,.71,都市：住,10000,47,持分移轉,03550002
RPPNMLSJOHLGFAN56CB,牛稠子段山腳小段,.18,都市：住,10000,47,持分移轉,03550003
RPPNMLSJOHLGFAN56CB,牛稠子段山腳小段,.79,都市：住,10000,47,持分移轉,03550004
RPPNMLSJOHLGFAN56CB,牛稠子段山腳小段,.92,都市：住,10000,47,持分移轉,03580001
RPQNMLLLOHLGFAN78CB,大埔段,2.64,都市：商,10000,58,持分移轉,05430194
RPPNMLSJOHLGFAN56CB,牛稠子段山腳小段,1.79,都市：住,10000,47,持分移轉,03590000
RPQNMLLLOHLGFAN78CB,大埔段,.03,都市：商,10000,58,持分移轉,05430195
RPPNMLSJOHLGFAN56CB,牛稠子段山腳小段,.41,都市：住,10000,47,持分移轉,03600000
