鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
溪湖鎮,租賃房屋,彰化縣溪湖鎮光平街９０號２樓,0.0,,,,1150521,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),人行道、店舖、集合住宅,鋼筋混凝土造,1110613,51.8,2,1,1,有,有,無,11800,228,,0.0,0,,RPQNMLMLNHLGFHN96CC,分層出租,有,1150523~1160522,有,冷氣、瓦斯或天然氣,
彰化市,租賃房屋,彰化縣彰化市中興路１０３號３樓,0.0,,,,1150521,土地0建物1車位0,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790104,148.72,4,2,2,有,有,有,12000,81,,0.0,0,續租案件；,RPPNMLPLNHLGFAN09CC,整棟(戶)出租,有,1150525~1170524,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
彰化市,租賃房屋,彰化縣彰化市民族路３１５巷７１號（３A室）,0.0,,,,1150521,土地0建物0車位0,全,3,透天厝,住家、避難室,鋼筋混凝土造,0710826,19.35,9,0,9,有,無,有,7000,362,,0.0,0,續租案件；,RPQNMLPLNHLGFAN56CC,分租套房,無,1150701~1160630,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
線西鄉,租賃房屋,彰化縣線西鄉慶濱路２２-１號,577.49,,工業區,丁種建築用地,1150522,土地1建物1車位0,見其他登記事項,1,工廠,店鋪（僅供連鎖便利商店使用）,鋼骨造,1130117,124.62,0,0,0,無,無,無,68250,,,0.0,0,租金總額含稅；,RPPNMLPLNHLGFBN56CC,,無,1150615~1200614,無,,
鹿港鎮,租賃房屋+車位,彰化縣鹿港鎮廖厝巷４０３號八樓之６,0.0,,,,1150522,土地0建物1車位1,八層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140925,103.64,2,1,1,有,有,無,11000,131,坡道平面,31.01,1500,,RPQNMLPLNHLGFCN76CC,整棟(戶)出租,有,1150601~1180531,有,熱水器、瓦斯或天然氣,社會住宅包租轉租
彰化市,租賃房屋,彰化縣彰化市辭修北路１６７巷５５號,0.0,,,,1150521,土地0建物1車位0,一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820121,161.67000000000002,4,2,2,有,有,有,16000,99,,0.0,0,未租賃車位，建物登記含有車位面積；續租案件；,RPPNMLQLNHLGFAN56CC,整棟(戶)出租,有,1150605~1160604,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
員林市,租賃房屋,彰化縣員林市育英路６３０之３號,0.0,,,,1150521,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721124,90.52,3,2,2,有,無,無,11000,122,,0.0,0,續租案件；,RPPNMLQLNHLGFDN86CC,整棟(戶)出租,無,1150523~1160522,無,熱水器,社會住宅代管
員林市,租賃房屋,彰化縣員林市南平街１３５號三樓,0.0,,,,1150523,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791205,141.51,3,2,2,有,有,有,15000,106,,0.0,0,每月管理費1600元由承租人負擔，未計入租金。,RPQNMLRLNHLGFDN07CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、冰箱,社會住宅代管
彰化市,租賃房屋,彰化縣彰化市華山路６９號８樓之２,0.0,,,,1150522,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110504,61.42,2,2,1,有,有,有,14000,228,,0.0,0,續租案件；,RPPNMLSLNHLGFAN76CC,整棟(戶)出租,有,1150525~1160524,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
彰化市,租賃房屋,彰化縣彰化市中山路一段５５６巷５７號３樓（C１室）,0.0,,,,1150522,土地0建物0車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0670629,23.14,11,0,11,有,無,有,6000,259,,0.0,0,含增建或未登記建物；,RPRNMLSLNHLGFAN96CC,分租套房,無,1150605~1160604,無,冷氣、熱水器、洗衣機、冰箱,
彰化市,租賃房屋,彰化縣彰化市中山路一段５５６巷５７號３樓（C２室）,0.0,,,,1150522,土地0建物0車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0670629,23.14,11,0,11,有,無,有,6500,281,,0.0,0,含增建或未登記建物；,RPSNMLSLNHLGFAN07CC,分租套房,無,1150605~1160604,無,冷氣、熱水器、洗衣機、電視機、冰箱,
彰化市,租賃房屋,彰化縣彰化市民生路３４１號３樓之２,0.0,,,,1150522,土地0建物0車位0,全,4,透天厝,補習班,鋼筋混凝土造,0950123,14.87,3,0,3,有,無,有,7000,471,,0.0,0,此為分租套房 僅出租其中一間!~租金總額含水費；網路費；其他第四台；含增建或未登記建物；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPTNMLSLNHLGFAN17CC,分租套房,無,1150610~1160609,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
員林市,租賃房屋+車位,彰化縣員林市豐年街５７號五樓之３,0.0,,,,1150526,土地0建物1車位1,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140618,106.81,2,1,1,有,有,有,15000,177,一樓平面,33.36,2000,,RPPNMLSLNHLGFDN07CC,整棟(戶)出租,有,1150601~1170531,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
大村鄉,租賃房屋,彰化縣大村鄉山腳路９６之２１號,0.0,,,,1150525,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010525,37.39,1,0,1,有,有,有,5000,134,,0.0,0,,RPSNMLSLNHLGFDN37CC,獨立套房,有,1150601~1180531,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
彰化市,租賃房屋,彰化縣彰化市彰美路一段１３２巷１１１號,0.0,,,,1150522,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0740215,91.8,4,2,3,有,無,有,14500,158,,0.0,0,多人共同承租2；,RPRNMLTLNHLGFAN07CC,整棟(戶)出租,無,1150523~1160522,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
