編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVOMLSJOHLGFAO37DA,中央段,11.38,都市：其他:道路用地,70000,8948,持分移轉,07470000
RPQQMLPKOHLGFAO86DA,崙子段,81.00,都市：其他:住宅區,1,1,全筆移轉,25580009
RPRNMLPKOHLGFAO66DA,光武段,.59,都市：其他:第一種住宅區,8,1,持分移轉,04610002
RPWNMLTJOHLGFAO47DA,朝山段,6.47,都市：其他:綠地用地,1,1,全筆移轉,02470002
RPPNMLPKOHLGFAO09DA,光武段,.59,都市：其他:第一種住宅區,8,1,持分移轉,04610002
RPQNMLPJOHLGFAO09DA,國道段,15.02,都市：其他:第二種商業區,500000,1137,持分移轉,10120000
RPTOMLLKNHLGFAO09DA,中興段,111.00,都市：其他:第一種住宅區,1,1,全筆移轉,05420034
RPVNMLPKOHLGFAO07DA,東山段一小段,19.62,都市：其他:第一種住宅區,10000,300,持分移轉,03530000
RPRNMLTKNHLGFAO96DA,南湖段,6.47,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,73,持分移轉,02160000
RPRNMLTKNHLGFAO96DA,南湖段,20.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,73,持分移轉,02170000
RPRNMLTKNHLGFAO96DA,南湖段,.26,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,73,持分移轉,04250000
RPPNMLMKOHLGFAO78DA,聚吉段,10.81,都市：其他:第二種商業區,10000,44,持分移轉,00740000
RPWOMLOJOHLGFAO07DA,新航段,860.02,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,01240000
RPQNMLPKOHLGFAO56DA,光武段,.59,都市：其他:第一種住宅區,8,1,持分移轉,04610002
RPPNMLLMNHLGFAO78DA,明湖段,240.60,非都市：山坡地保育區 ; 非都市編定：水利用地,1,1,全筆移轉,07250000
RPPNMLLMNHLGFAO78DA,明湖段,1892.36,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07280000
RPOOMLRJNHLGFAO09DA,西濱段,15.37,都市：其他:第一之一種住宅區,100000,267,持分移轉,00420000
RPWNMLSKOHLGFAO47DA,中央段,2.13,都市：其他:道路用地,720,6,持分移轉,06630000
RPWNMLSKOHLGFAO47DA,中央段,16.25,都市：其他:道路用地,120,3,持分移轉,07960000
RPVNMLQKOHLGFAO17DA,民主段,26.89,都市：其他:第二種住宅區,10000,326,持分移轉,12910000
RPROMLQKOHLGFAO86DA,南華段,33.51,都市：其他:第一種住宅區,4,1,持分移轉,00080002
RPWNMLSKOHLGFAO47DA,北門段,54.30,都市：其他:道路用地,200,10,持分移轉,18380000
RPUNMLQKOHLGFAO07DA,武陵段,88.00,都市：其他:第一種住宅區,1,1,全筆移轉,06730003
RPQOMLQKOHLGFAO76DA,美山段,.03,都市：其他:第二之一種住宅區,8400,20,持分移轉,01060001
RPURMLRKOHLGFAO57DA,和平段,96.00,都市：其他:道路用地,2,1,持分移轉,10480000
RPQOMLQKOHLGFAO76DA,美山段,.37,都市：其他:道路用地,8400,20,持分移轉,01060002
RPQOMLQKOHLGFAO76DA,美山段,31.40,都市：其他:第二之一種住宅區,100000,4312,持分移轉,01070000
RPQOMLQKOHLGFAO76DA,美山段,.89,都市：其他:道路用地,24,1,持分移轉,01070001
RPOOMLQKOHLGFAO56DA,竹蓮段,34.00,都市：其他:第二種商業區,1,1,全筆移轉,02730000
RPRNMLQKOHLGFAO76DA,武陵段,15.78,都市：其他:第一種住宅區,10000,10,持分移轉,03160000
RPRNMLQKOHLGFAO76DA,武陵段,.46,都市：其他:第一種住宅區,100000,3,持分移轉,03160003
