編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLPJOHLGFAO09DA,坡道平面,0,,地下二樓
RPPNMLMKOHLGFAO78DA,坡道機械,0,,地下二樓
RPOOMLRJNHLGFAO09DA,坡道平面,0,30.16,地下一樓
RPQOMLQKOHLGFAO76DA,一樓平面,0,,一樓
RPSNMLQKOHLGFAO86DA,坡道平面,0,33.07,地下二樓
RPSNMLQKOHLGFAO86DA,坡道平面,0,33.07,地下二樓
RPVNMLPKOHLGFAO17EA,坡道平面,0,39.24,地下三樓
RPUNMLPKOHLGFAO07EA,坡道平面,1500000,,地下二樓
RPOOMLPJOHLGFAO98DA,坡道平面,0,30.06,地下三樓
RPXNMLLJOHLGFAO76DA,坡道平面,0,,地下三樓
RPTOMLQKOHLGFAO07DA,坡道平面,0,34.91,地下一樓
RPOSMLRKOHLGFAO07DA,一樓平面,0,,一樓
RPTOMLPLNHLGFAO96DA,一樓平面,1450000,14.30,一樓
RPVOMLPLNHLGFAO17DA,一樓平面,1500000,,一樓
RPSNMLKKOHLGFAO88DA,坡道機械,0,,一樓
RPWPMLPLNHLGFAO37DA,坡道平面,0,30.07,地下二樓
RPWOMLPLNHLGFAO27DA,一樓平面,1600000,21.00,一樓
RPSNMLLKOHLGFAO98DA,坡道平面,0,27.57,地下二樓
RPSNMLLKOHLGFAO98DA,坡道機械,0,22.32,地下三樓
RPTOMLRKOHLGFAO17DA,坡道平面,0,,地下三樓
RPQOMLMLOHLGFAO09DA,坡道平面,0,,地下二樓
RPSNMLLKNHLGFAO88DA,坡道平面,0,26.39,地下一樓
RPSNMLLKNHLGFAO88DA,坡道平面,0,26.39,地下一樓
RPPNMLRKOHLGFAO66DA,坡道平面,0,28.10,地下二樓
RPWNMLNLOHLGFAO07DA,坡道平面,0,,地下一樓
RPXQMLPKOHLGFAO57DA,坡道平面,0,34.00,地下三樓
RPTNMLTLMHLGFAO17DA,坡道平面,0,,地下二樓
RPTNMLTLMHLGFAO17DA,坡道平面,0,,地下二樓
RPSNMLKLMHLGFAO78DA,坡道平面,0,25.76,地下二樓
RPQTMLPLNHLGFAO17DA,坡道平面,0,28.67,地下三樓
RPQTMLPLNHLGFAO17DA,坡道平面,0,28.67,地下三樓
RPPOMLQJNHLGFAO09DA,坡道平面,3500000,,地下四樓
RPQPMLLKNHLGFAO88DA,坡道平面,0,,地下二樓
RPQPMLLKNHLGFAO88DA,坡道平面,0,,地下二樓
RPWQMLPKOHLGFAO47DA,其他,0,,一樓
RPRNMLRKOHLGFAO86DA,坡道平面,1900000,20.08,地下一樓
RPTNMLMJOHLGFAO09DA,坡道平面,0,25.00,地下三樓
RPTNMLMJOHLGFAO09DA,坡道平面,0,25.00,地下三樓
RPVQMLPKOHLGFAO37DA,其他,0,,一樓
RPOPMLTLNHLGFAO96DA,坡道平面,2400000,23.37,地下一樓
RPOPMLTLNHLGFAO96DA,坡道平面,1800000,23.37,地下一樓
RPXOMLRKOHLGFAO57DA,坡道平面,2300000,29.61,地下二樓
RPXOMLRKOHLGFAO57DA,坡道平面,2300000,29.61,地下二樓
RPUQMLPKOHLGFAO27DA,其他,0,,一樓
RPUQMLPKOHLGFAO27DA,其他,0,,一樓
RPQNMLRKOHLGFAO76DA,一樓平面,2000000,20.08,一樓
RPPOMLRKOHLGFAO76DA,坡道平面,1800000,20.08,地下一樓
RPPOMLRJNHLGFAO56DA,坡道平面,1600000,34.14,地下一樓
RPPPMLRKOHLGFAO86DA,坡道平面,2100000,29.61,地下三樓
RPXOMLLJMHLGFAO66DA,坡道平面,1400000,29.44,地下二樓
RPXOMLLJMHLGFAO66DA,坡道平面,1400000,29.44,地下二樓
RPQOMLRKOHLGFAO86DA,坡道平面,1900000,20.08,地下一樓
RPWNMLRKOHLGFAO37DA,一樓平面,2000000,20.08,一樓
RPQPMLRKOHLGFAO96DA,坡道平面,2100000,29.61,地下三樓
RPTNMLRKOHLGFAO07DA,坡道平面,1800000,20.08,地下一樓
RPSNMLRKOHLGFAO96DA,一樓平面,1900000,21.89,一樓
RPXNMLRKOHLGFAO47DA,一樓平面,2000000,21.89,一樓
RPUNMLRKOHLGFAO17DA,坡道平面,1650000,20.08,地下一樓
RPTNMLLLOHLGFAO56DA,一樓平面,1900000,21.89,一樓
RPSPMLRKOHLGFAO17DA,坡道平面,2500000,29.61,地下一樓
RPSNMLLLOHLGFAO09DA,坡道平面,1650000,20.08,地下一樓
RPWNMLQKOHLGFAO27DA,坡道平面,2250000,28.80,地下一樓
RPQNMLLLOHLGFAO88DA,坡道平面,1650000,20.08,地下一樓
RPOPMLRKOHLGFAO76DA,坡道平面,2200000,27.28,地下二樓
RPOPMLRKOHLGFAO76DA,坡道平面,2300000,29.61,地下二樓
RPRNMLLLOHLGFAO98DA,坡道平面,1800000,20.08,地下一樓
RPRQMLPKOHLGFAO96DA,坡道平面,0,30.06,地下三樓
RPWOMLRKOHLGFAO47DA,坡道平面,2300000,29.61,地下二樓
RPWOMLRKOHLGFAO47DA,坡道平面,2200000,27.28,地下二樓
RPSOMLSKLHLGFAO86DA,坡道平面,2350000,23.37,地下二樓
