編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLQLNHLGFAO96CB,光武段,12.93,都市：住,100000,586,持分移轉,11070000
RPPNMLMLNHLGFAO78CB,香村段,295.10,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03100065
RPPNMLMLNHLGFAO78CB,香村段,30.34,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,7,1,持分移轉,03100068
RPPNMLMLNHLGFAO78CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
RPPNMLMLNHLGFAO78CB,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130067
RPPNMLMLNHLGFAO78CB,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,02610005
RPPNMLMLNHLGFAO78CB,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,500,1,持分移轉,04170001
RPRNMLQLNHLGFAO76CB,光武段,12.66,都市：住,100000,574,持分移轉,11070000
RPQNMLSLNHLGFAO86CB,香村段,252.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03100064
RPQNMLSLNHLGFAO86CB,香村段,30.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,6,1,持分移轉,03100004
RPQNMLSLNHLGFAO86CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
RPQNMLSLNHLGFAO86CB,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130067
RPQNMLSLNHLGFAO86CB,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,02610005
RPQNMLSLNHLGFAO86CB,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,500,1,持分移轉,04170001
RPVNMLLJOHLGFAO56CB,中央段,9.72,都市：商,100000,374,持分移轉,15830000
RPQNMLMLNHLGFAO88CB,香村段,227.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03100085
RPQNMLMLNHLGFAO88CB,香村段,28.76,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,8,1,持分移轉,03100079
RPQNMLMLNHLGFAO88CB,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130003
RPQNMLMLNHLGFAO88CB,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,04130067
RPQNMLMLNHLGFAO88CB,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,500,1,持分移轉,02610005
RPQNMLMLNHLGFAO88CB,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地,500,1,持分移轉,04170001
RPQNMLRKOHLGFAO76CB,和平段,13.05,都市：住,100000,883,持分移轉,08890000
