編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLQLNHLGFAO96CB,坡道平面,3250000,34.94,地下二樓
RPPNMLMLNHLGFAO78CB,一樓平面,0,,一樓
RPRNMLQLNHLGFAO76CB,坡道平面,2700000,34.94,地下四樓
RPQNMLSLNHLGFAO86CB,一樓平面,0,,一樓
RPVNMLLJOHLGFAO56CB,坡道平面,1850000,34.02,地下五樓含以下
RPQNMLMLNHLGFAO88CB,一樓平面,0,,一樓
RPQNMLRKOHLGFAO76CB,坡道平面,2250000,40.09,地下二樓
RPRNMLMJOHLGFAO88CB,坡道平面,2050000,29.78,地下一樓
RPPNMLMJOHLGFAO68CB,坡道平面,1850000,29.78,地下二樓
RPQNMLQLNHLGFAO66CB,坡道平面,3250000,37.69,地下二樓
RPPNMLRLNHLGFAO66CB,一樓平面,0,,一樓
RPRNMLRKOHLGFAO86CB,坡道平面,1750000,36.71,地下三樓
RPPNMLRKOHLGFAO66CB,坡道平面,2200000,40.09,地下三樓
RPXNMLLJOHLGFAO76CB,坡道平面,1750000,32.15,地下五樓含以下
RPQNMLSJOHLGFAO76CB,坡道平面,2700000,36.93,地下三樓
RPQNMLSJOHLGFAO76CB,坡道平面,2700000,36.93,地下三樓
RPSNMLQLNHLGFAO86CB,坡道平面,2950000,34.94,地下二樓
RPSNMLLKOHLGFAO98CB,坡道平面,1900000,27.24,地下三樓
RPQNMLMJOHLGFAO78CB,坡道平面,2050000,29.78,地下二樓
RPWNMLLJOHLGFAO66CB,坡道平面,1650000,34.02,地下五樓含以下
RPTNMLLJOHLGFAO98CB,坡道平面,2050000,34.02,地下五樓含以下
RPSNMLQJOHLGFAO76CB,坡道平面,2800000,36.54,地下二樓
