鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
斗六市,房地(土地+建物),雲林縣斗六市後庄１１之３０號五樓之２,24.92,,鄉村區,乙種建築用地,1150604,土地5建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140721,63.57,1,1,1,有,有,4200000,66069,,0.0,0,,RPWNMLTJOHLGFAP57DA,41.39,0.0,8.22,有,001
斗六市,房地(土地+建物),雲林縣斗六市江厝路１００巷３弄３５號四樓,45.03,,鄉村區,乙種建築用地,1150609,土地1建物1車位0,四層，五層，屋頂突出物,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880926,130.75,4,1,2,有,有,3300000,25239,,0.0,0,,RPRNMLRKOHLGFAP96DA,95.57,0.0,13.93,無,
元長鄉,土地,潭墘段338地號,1326.0,,特定農業區,農牧用地,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,603,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLLKOHLGFEP07DA,0.0,0.0,0.0,無,
四湖鄉,土地,洋北段961地號,124.21,,一般農業區,農牧用地,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,3220,,0.0,0,,RPPNMLNKOHLGFEP76DA,0.0,0.0,0.0,無,
水林鄉,土地,東興段1088地號,552.1,,鄉村區,乙種建築用地,1150611,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,1811,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLQKOHLGFEP47DA,0.0,0.0,0.0,無,
東勢鄉,土地,圳頭段985地號,2023.0,,特定農業區,農牧用地,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1314950,650,,0.0,0,,RPPNMLSKOHLGFFP47EA,0.0,0.0,0.0,無,
古坑鄉,房地(土地+建物),雲林縣古坑鄉新興７２號三樓之１,34.24,,鄉村區,乙種建築用地,1150605,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091225,88.77,2,1,1,有,有,3030000,34133,,0.0,0,,RPTNMLPJOHLGFAP86DA,55.24,0.0,6.88,有,002
古坑鄉,房地(土地+建物),雲林縣古坑鄉永興路１６６之１６號五樓,29.16,,鄉村區,乙種建築用地,1150604,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050630,103.80000000000001,2,2,1,有,有,4650000,44798,,0.0,0,,RPRNMLMKOHLGFAP09DA,61.74,0.0,8.82,有,003
斗六市,房地(土地+建物)+車位,雲林縣斗六市莊敬路３４７巷３０弄３３號十樓,15.9,住,,,1150603,土地4建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830615,89.08,2,1,1,有,有,4550000,51078,坡道平面,13.75,0,,RPPNMLSKOHLGFAP86DA,62.36,0.0,5.28,有,
古坑鄉,房地(土地+建物),雲林縣古坑鄉文昌路１８０巷８號,69.02,,鄉村區,乙種建築用地,1150601,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0681001,117.67,1,2,2,有,無,3300000,28045,,0.0,0,頂樓加蓋；其他增建；,RPTNMLSKOHLGFAP27DA,117.67,0.0,0.0,無,004
北港鎮,土地,草湖段597地號,2231.83,,特定農業區,農牧用地,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1897055,850,,0.0,0,,RPRNMLSJOHLGFEP37DA,0.0,0.0,0.0,無,
口湖鄉,土地,埔中段993地號,1067.08,,一般農業區,養殖用地,1150610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,750,,0.0,0,,RPSNMLRKOHLGFEP47DA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物)+車位,雲林縣斗六市西安街２１號五樓,23.0,住,,,1150611,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830111,125.17,3,1,2,有,有,4000000,31957,坡道機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLMLOHLGFAP56DA,90.88,0.0,2.26,有,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮埒內路２５８之９號,57.0,,鄉村區,乙種建築用地,1150612,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0680110,100.12,3,2,2,有,無,2800000,27966,,0.0,0,,RPPNMLMLOHLGFDP66DA,100.12,0.0,0.0,無,005
水林鄉,土地,蕃薯段2296地號,2187.0,,特定農業區,農牧用地,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2630000,1203,,0.0,0,,RPUNMLOJOHLGFEP27DA,0.0,0.0,0.0,無,006
元長鄉,土地,長南段540-12地號,170.0,農,,,1150609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,680000,4000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLPKOHLGFEP07DA,0.0,0.0,0.0,無,
四湖鄉,土地,洋北段178地號,1498.77,,一般農業區,農牧用地,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,930000,621,,0.0,0,,RPPNMLMLOHLGFEP76DA,0.0,0.0,0.0,無,
