編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMLOHLGFDP66DA,47,100.12,住家用,加強磚造,68年1月10日,二層,一層 二層 騎樓,全筆移轉
RPPNMLNLOHLGFAP56EA,31,86.22,住家用,鋼筋混凝土造,84年5月18日,五層,三層 陽台,全筆移轉
RPPNMLNLOHLGFAP56EA,31,7.65,共有部份,鋼筋混凝土造,84年5月18日,五層,,持分移轉
RPROMLMLOHLGFAP66DA,11,221.98,停車空間、住宅、樓梯間,鋼筋混凝土造,104年1月6日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPTNMLPJOHLGFAP86DA,5,62.12,集合住宅,鋼筋混凝土造,109年12月25日,七層,三層 陽台,全筆移轉
RPRNMLMLOHLGFAP56DA,32,93.14,住家用,鋼筋混凝土造,83年1月11日,八層,五層 陽台,全筆移轉
RPTNMLPJOHLGFAP86DA,5,26.65,門廊、管理委員會使用空間、走廊、資源回收室、車道、停車空間、樓梯間、機械室、水箱,鋼筋混凝土造,109年12月25日,七層,,持分移轉
RPRNMLMLOHLGFAP56DA,32,32.03,共有部份,鋼筋混凝土造,83年1月11日,八層,,持分移轉
RPWNMLTJOHLGFAP57DA,1,49.61,集合住宅,鋼筋混凝土造,114年7月21日,五層,五層 陽台,全筆移轉
RPWNMLTJOHLGFAP57DA,1,13.96,停車空間、甲乙戶外安全梯、梯廳、梯間、機械室、戶外安全甲梯。,鋼筋混凝土造,114年7月21日,五層,,持分移轉
RPSNMLQKOHLGFAP96DA,32,59.31,住家用,鋼筋混凝土造,83年6月15日,十一層,十一層 陽台,全筆移轉
RPSNMLQKOHLGFAP96DA,32,11.43,共有部份,鋼筋混凝土造,83年6月15日,十一層,,持分移轉
RPSNMLQKOHLGFAP96DA,32,10.13,共有部份,鋼筋混凝土造,83年6月15日,,,持分移轉
RPPPMLQKOHLGFDP17DA,19,.64,一般事務所,鋼筋混凝土造,95年12月5日,十二層,一層 陽台,持分移轉
RPPPMLQKOHLGFDP17DA,19,85.40,集合住宅、辦公室,鋼筋混凝土造,95年12月5日,十二層,二層 陽台,全筆移轉
RPPPMLQKOHLGFDP17DA,19,7.49,防空避難室、停車空間,鋼筋混凝土造,95年12月5日,十二層,,持分移轉
RPPPMLQKOHLGFDP17DA,19,15.27,公共設施,鋼筋混凝土造,95年12月5日,十二層,,持分移轉
RPPNMLRKOHLGFAP86EA,18,193.25,住商用,鋼筋混凝土造,97年1月22日,四層,一層 二層 三層 四層 騎樓 見其他登記事項,全筆移轉
RPRNMLRKOHLGFAP96DA,27,109.50,住家用,鋼筋混凝土造,88年9月26日,五層,四層 五層 陽台 屋頂突出物,全筆移轉
RPRNMLRKOHLGFAP96DA,27,21.25,共有部份,鋼筋混凝土造,88年9月26日,五層,,持分移轉
RPPNMLSKOHLGFAP96EA,45,213.07,住商用,鋼筋混凝土造,70年2月10日,三層,一層 二層 三層 騎樓 電梯樓梯間,全筆移轉
RPUNMLMLOHLGFAP86DA,29,97.49,店舖、辦公室,鋼筋混凝土造,86年5月15日,十六層,一層 二層 平台 花台,全筆移轉
RPUNMLMLOHLGFAP86DA,29,32.88,共有部份,鋼筋混凝土造,86年5月15日,十六層,,持分移轉
RPUNMLMLOHLGFAP86DA,29,2.56,共有部份,鋼筋混凝土造,86年5月15日,十六層,,持分移轉
RPTNMLSKOHLGFAP27DA,47,117.67,住商用,加強磚造,68年10月1日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPPNMLSKOHLGFAP86DA,32,53.89,住家用,鋼筋混凝土造,83年6月15日,十二層,十層 陽台,全筆移轉
RPPNMLSKOHLGFAP86DA,32,15.23,共有部份,鋼筋混凝土造,83年6月15日,十二層,,持分移轉
RPPNMLSKOHLGFAP86DA,32,13.75,儲藏室、停車場、辦公室,鋼筋混凝土造,83年6月15日,十二層,地下層,持分移轉
RPPNMLSKOHLGFAP86DA,32,6.21,共有部份,鋼筋混凝土造,83年6月15日,,,持分移轉
RPPNMLPKOHLGFBP66DA,2,147.22,住宅、騎樓、樓梯間,鋼筋混凝土造,113年8月30日,三層,一層 二層 三層 騎樓 見其他登記事項,全筆移轉
RPPNMLSKOHLGFBP96DA,28,202.81,住家用,鋼筋混凝土造,87年3月30日,三層,一層 二層 三層 陽台 騎樓 電梯樓梯間,全筆移轉
RPRNMLMKOHLGFAP09DA,10,70.56,集合住宅,鋼筋混凝土造,105年6月30日,七層,五層 陽台,全筆移轉
RPRNMLMKOHLGFAP09DA,10,33.24,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,,持分移轉
RPTNMLMJOHLGFBP66DA,46,96.72,住家用,加強磚造,69年11月10日,二層,一層 二層 電梯樓梯間,全筆移轉
RPPNMLMKOHLGFDP56DA,39,544.62,住宅，集貨場,加強磚造,76年11月20日,一層,一層,全筆移轉
RPUNMLRKOHLGFEP67DA,41,169.95,住家用,鋼筋混凝土造,73年12月5日,三層,一層 二層 三層 陽台 電梯樓梯間,全筆移轉
RPVNMLQKOHLGFFP77DA,10,210.94,住宅,鋼筋混凝土造,105年5月20日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQOMLMLOHLGFAP56DA,30,200.69,住家用,鋼筋混凝土造,85年3月1日,三層,一層 二層 三層 陽台 平台 電梯樓梯間,全筆移轉
RPPNMLLLOHLGFAP88DA,3,64.98,集合住宅,鋼筋混凝土造,112年10月21日,五層,五層 陽台,全筆移轉
RPPNMLLLOHLGFAP88DA,3,35.74,樓梯間電梯間、停車空間、梯廳、機電設備空間、電信室、水箱,鋼筋混凝土造,112年10月21日,五層,,持分移轉
RPPNMLMLOHLGFAP09EA,32,81.33,住家用,鋼筋混凝土造,83年8月18日,七層,六層 陽台,全筆移轉
RPPNMLMLOHLGFAP09EA,32,41.58,共有部份,鋼筋混凝土造,83年8月18日,七層,,持分移轉
