編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLMLOHLGFAP56DA,坡道機械,0,,地下一樓
RPUNMLMLOHLGFAP86DA,坡道平面,0,,地下一樓
RPPNMLSKOHLGFAP86DA,坡道平面,0,13.75,地下一樓
RPPNMLLLOHLGFAP88DA,一樓平面,0,16.53,一樓
RPPNMLMLOHLGFAP09EA,坡道平面,0,,地下一樓
RPXNMLMLOHLGFAP17DA,一樓平面,0,34.40,一樓
RPRNMLKKOHLGFEP66DA,坡道平面,0,,地下二樓
RPUNMLRKOHLGFAP27DA,坡道平面,1300000,27.99,地下二樓
RPVNMLQKOHLGFAP27DA,坡道機械,550000,16.96,地下一樓
RPSNMLRKOHLGFAP07DA,坡道平面,1300000,29.18,地下三樓
RPTNMLRKOHLGFAP17DA,坡道平面,1300000,29.18,地下三樓
RPVNMLSKOHLGFAP47DA,坡道平面,1300000,29.18,地下三樓
RPTNMLMLOHLGFBP86DA,坡道平面,1000000,28.99,地下一樓
RPRPMLTJOHLGFDP57DA,一樓平面,0,,一樓
RPPPMLTJOHLGFDP37DA,一樓平面,0,,一樓
RPQOMLQJOHLGFAP76DA,坡道平面,1500000,29.18,地下一樓
RPUNMLMLOHLGFBP96DA,坡道平面,1000000,28.99,地下一樓
RPQPMLTJOHLGFDP47DA,一樓平面,0,,一樓
RPUNMLQKOHLGFAP17DA,坡道機械,360000,16.96,地下一樓
RPXNMLQJOHLGFAP37DA,坡道平面,1100000,29.18,地下四樓
RPPNMLQLOHLGFAP86EA,坡道機械,0,,地下一樓
RPPNMLQLOHLGFAP86EA,坡道機械,0,,地下一樓
RPSNMLQLNHLGFDP27DA,坡道平面,950000,32.02,地下二樓
RPSNMLOJOHLGFDP96DA,坡道平面,1000000,32.02,地下二樓
RPQOMLOJOHLGFDP86DA,坡道平面,1100000,32.02,地下一樓
RPVRMLOLNHLGFDP77DA,坡道平面,1000000,32.02,地下二樓
RPTOMLOJOHLGFDP17DA,坡道平面,1050000,32.02,地下一樓
RPWRMLOLNHLGFDP87DA,坡道平面,1000000,32.02,地下二樓
RPSPMLOJOHLGFDP17DA,坡道平面,1050000,32.02,地下一樓
RPXOMLOJOHLGFDP57DA,坡道平面,1050000,32.02,地下一樓
RPPSMLOLNHLGFDP27DA,坡道平面,950000,32.02,地下二樓
RPSOMLOJOHLGFDP07DA,坡道平面,1150000,32.02,地下一樓
RPXRMLOLNHLGFDP97DA,坡道平面,1000000,32.02,地下二樓
RPROMLOJOHLGFDP96DA,坡道平面,1100000,32.02,地下一樓
RPPPMLOJOHLGFDP86DA,坡道平面,1000000,32.02,地下二樓
RPWOMLOJOHLGFDP47DA,坡道平面,1100000,32.02,地下一樓
RPTRMLOLNHLGFDP57DA,坡道平面,1100000,32.02,地下一樓
RPQQMLOJOHLGFDP07DA,坡道平面,1000000,32.02,地下二樓
RPSQMLOJOHLGFDP27DA,坡道平面,1050000,32.02,地下一樓
RPRQMLOJOHLGFDP17DA,坡道平面,1100000,32.02,地下一樓
RPUQMLOJOHLGFDP47DA,坡道平面,1000000,32.02,地下二樓
