鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮守成街,30.32,住,,,1150521,土地2建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,,129.83,3,1,2,有,無,9820000,78641,坡道平面,21.49,1300000,,RPPNMLPLNHLGFBP76DB,MY微風,7F號,
斗六市,房地(土地+建物),雲林縣斗六市鎮北路,11.88,住,,,1150528,土地7建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.36,2,2,1,有,無,6200000,88118,,0.0,0,該戶契約書簽約土地面積持分11.93平方公尺,RPQNMLTLNHLGFAP07CB,東德一品苑,A6號,
斗南鎮,房地(土地+建物),雲林縣斗南鎮長苗街,32.6,住,,,1150530,土地3建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,70.33,2,1,1,有,無,5050000,71804,,0.0,0,,RPPNMLKKOHLGFBP78CB,幸福都會二期,4FB5號,
斗南鎮,房地(土地+建物),雲林縣斗南鎮長榮路,121.45,住,,,1150523,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,195.82,4,2,5,有,無,14520000,74150,,0.0,0,,RPQNMLKKOHLGFBP88CB,幸福天地十期,A2棟0號,
古坑鄉,房地(土地+建物),雲林縣古坑鄉東和村長安路,43.17,,鄉村區,乙種建築用地,1150522,土地1建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.47,2,1,2,有,無,6900000,80730,,0.0,0,,RPPNMLLKOHLGFAP78CB,風和日麗,3C號,
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮興農西路438巷,36.01,住,,,1150528,土地5建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.04,3,2,2,有,無,8600000,78565,坡道平面,14.85,1200000,,RPPNMLLKOHLGFCP98CB,敘蒔美,I棟3號,
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮興農西路438巷,37.05,住,,,1150521,土地5建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.83,3,2,2,有,無,8780000,78160,坡道平面,14.85,1200000,,RPQNMLLKOHLGFCP09CB,敘蒔美,F棟2號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮廉使南段442-1地號,30.66,,鄉村區,乙種建築用地,1150524,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,140.93,2,2,1,有,無,9550000,76453,坡道平面,29.75,1050000,,RPRNMLLKOHLGFDP66CB,富域,B棟3a號,
斗六市,房地(土地+建物),雲林縣斗六市深圳路,99.15,,鄉村區,乙種建築用地,1150530,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.66,4,2,4,有,無,9990000,69058,,0.0,0,,RPPNMLRKOHLGFAP76CB,翡翠森活美墅ll,A棟A12號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮大屯,110.89,,鄉村區,乙種建築用地,1150523,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,184.09,4,2,5,有,無,10980000,59645,,0.0,0,,RPPNMLSKOHLGFDP17CB,廣瓏建設-大屯綻,B棟13號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮永興北二街與虎興北路交叉路口,24.76,住,,,1150523,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.25,2,1,2,有,無,7850000,78473,坡道平面,14.87,1150000,,RPQNMLSKOHLGFDP27CB,禾楓君悅-高鐵綻8期,L號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮中溪段0426-0001地號,21.84,,鄉村區,乙種建築用地,1150525,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,63.46,2,2,1,有,無,4380000,69020,,0.0,0,,RPQNMLOLOHLGFDP07DB,居心地建築中溪七期,A棟2樓2C號,
