編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSKOHLGFDP17CB,大屯段,86.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,285705,8639,持分移轉,04050000
RPPNMLSKOHLGFDP17CB,大屯段,24.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,285705,2450,持分移轉,04050000
RPQNMLLKOHLGFCP09CB,漢光段,12.05,都市：住,10000,286,持分移轉,00490000
RPQNMLOLOHLGFDP07DB,中溪段,21.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,491,持分移轉,04260001
RPQNMLLKOHLGFCP09CB,漢光段,6.41,都市：住,10000,286,持分移轉,00490001
RPQNMLLKOHLGFCP09CB,漢光段,6.05,都市：住,10000,286,持分移轉,00490002
RPQNMLLKOHLGFCP09CB,漢光段,6.41,都市：住,10000,286,持分移轉,00490003
RPQNMLLKOHLGFCP09CB,漢光段,6.14,都市：住,10000,286,持分移轉,00490004
RPRNMLLKOHLGFDP66CB,廉使南段,30.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,14785,持分移轉,04420001
RPQNMLSKOHLGFDP27CB,高北段,24.76,都市：住,268144,2476,持分移轉,02100000
RPPNMLLKOHLGFCP98CB,漢光段,11.72,都市：住,10000,278,持分移轉,00490000
RPPNMLLKOHLGFCP98CB,漢光段,6.23,都市：住,10000,278,持分移轉,00490001
RPPNMLLKOHLGFCP98CB,漢光段,5.88,都市：住,10000,278,持分移轉,00490002
RPPNMLLKOHLGFCP98CB,漢光段,6.23,都市：住,10000,278,持分移轉,00490003
RPPNMLLKOHLGFCP98CB,漢光段,5.97,都市：住,10000,278,持分移轉,00490004
RPPNMLPLNHLGFBP76DB,僑真段,24.29,都市：住,100000,2016,持分移轉,05670000
RPPNMLPLNHLGFBP76DB,僑真段,6.03,都市：住,100000,1901,持分移轉,05670002
RPPNMLKKOHLGFBP78CB,明昌段,26.81,都市：住,55600,2681,持分移轉,17290000
RPPNMLKKOHLGFBP78CB,明昌段,.30,都市：住,600,30,持分移轉,17290011
RPPNMLKKOHLGFBP78CB,明昌段,5.49,都市：其他:道路用地,32600,549,持分移轉,17270000
RPQNMLKKOHLGFBP88CB,興國段,98.00,都市：住,1,1,全筆移轉,09440007
RPQNMLKKOHLGFBP88CB,興國段,16.28,都市：住,11400,1628,持分移轉,09440000
RPQNMLKKOHLGFBP88CB,興國段,2.71,都市：住,1900,271,持分移轉,09440013
RPQNMLKKOHLGFBP88CB,興國段,.48,都市：住,5400,48,持分移轉,08920000
RPQNMLKKOHLGFBP88CB,興國段,1.28,都市：住,2400,128,持分移轉,08950000
RPQNMLKKOHLGFBP88CB,興國段,2.70,都市：住,3030,27,持分移轉,09490000
RPPNMLLKOHLGFAP78CB,東陽段,43.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,115900,4317,持分移轉,17060020
RPPNMLRKOHLGFAP76CB,九老爺段,99.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,237600,9915,持分移轉,01080000
RPQNMLTLNHLGFAP07CB,海豐崙段朱丹灣小段,2.84,都市：住,10000,89,持分移轉,00160001
RPQNMLTLNHLGFAP07CB,海豐崙段朱丹灣小段,.75,都市：住,10000,89,持分移轉,00160005
RPQNMLTLNHLGFAP07CB,海豐崙段朱丹灣小段,.74,都市：住,10000,89,持分移轉,00160006
RPQNMLTLNHLGFAP07CB,海豐崙段朱丹灣小段,1.22,都市：住,10000,89,持分移轉,00160007
RPQNMLTLNHLGFAP07CB,海豐崙段朱丹灣小段,1.23,都市：住,10000,89,持分移轉,00160008
RPQNMLTLNHLGFAP07CB,海豐崙段朱丹灣小段,1.24,都市：住,10000,89,持分移轉,00160009
RPQNMLTLNHLGFAP07CB,海豐崙段朱丹灣小段,3.87,都市：住,10000,89,持分移轉,00160010
