鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
義竹鄉,土地,角帶圍段帶圍小段568地號,2358.0,農,,,1150611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2750000,1166,,0.0,0,,RPPNMLKKOHLGFBQ88DA,0.0,0.0,0.0,無,
朴子市,房地(土地+建物),嘉義縣朴子市吉祥七街７６號四樓２５,6.48,住,,,1150602,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940103,21.770000000000003,1,0,1,有,有,2060000,94626,,0.0,0,,RPPNMLLKOHLGFBQ98DA,15.36,0.0,2.08,有,001
溪口鄉,土地,溪西段904地號,62.24,,,,1150603,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,448056,7199,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPTNMLLKOHLGFCQ86DA,0.0,0.0,0.0,無,002
溪口鄉,土地,溪西段904地號,20.75,,,,1150603,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,149256,7193,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,SPTNMLLKOHLGFCQ96DA,0.0,0.0,0.0,無,002
朴子市,土地,溪口段394地號,45.1,,鄉村區,交通用地,1150601,土地7建物0車位0,,,其他,,,,0.0,0,0,0,無,無,443050,9824,,0.0,0,,RPPNMLRKOHLGFBQ07EA,0.0,0.0,0.0,無,
朴子市,房地(土地+建物),嘉義縣朴子市大葛里吉祥七街７６號三樓２,6.75,住,,,1150606,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940103,22.63,1,1,1,有,有,1600000,70703,,0.0,0,,RPUNMLRKOHLGFBQ47DA,16.03,0.0,2.08,有,004
中埔鄉,土地,義仁段484地號,137.84,住,,,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2800000,20313,,0.0,0,房屋40萬未登記建物；,RPQNMLRKOHLGFDQ37EA,0.0,0.0,0.0,無,
中埔鄉,土地,灣潭子段134-8地號,452.0,,山坡地保育區,丙種建築用地,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1367000,3024,,0.0,0,,RPRNMLRKOHLGFDQ47EA,0.0,0.0,0.0,無,
朴子市,房地(土地+建物),嘉義縣朴子市大葛里朴東一街２８號二樓之２,10.01,住,,,1150602,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030625,33.82,1,0,1,有,無,3000000,88705,,0.0,0,,RPXOMLMKOHLGFBQ37DA,22.79,0.0,1.9,有,005
