編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLQKOHLGFCQ37DA,,60.26,住家用,磚造,,一層,一層,全筆移轉
RPXOMLMKOHLGFBQ37DA,12,24.69,集合住宅,鋼筋混凝土造,103年6月25日,五層,二層 陽台,全筆移轉
RPXOMLMKOHLGFBQ37DA,12,9.13,車道、樓梯間、水箱等七項,鋼筋混凝土造,103年6月25日,五層,,持分移轉
RPUNMLRKOHLGFBQ47DA,21,18.11,住家用,鋼筋混凝土造,94年1月3日,五層,三層 陽台,全筆移轉
RPUNMLRKOHLGFBQ47DA,21,1.79,梯廳、樓電梯室、消防泵浦、電信室、梯間,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPUNMLRKOHLGFBQ47DA,21,2.73,走廊,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPPNMLLKOHLGFBQ98DA,21,17.44,住家用,鋼筋混凝土造,94年1月3日,五層,四層 陽台,全筆移轉
RPPNMLLKOHLGFBQ98DA,21,1.72,梯廳、樓電梯室、消防泵浦、電信室、梯間,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPPNMLLKOHLGFBQ98DA,21,2.62,走廊,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPRNMLNLOHLGFBQ86DA,33,207.74,住商用,鋼筋混凝土造,82年3月1日,三層,一層 二層 三層 騎樓,全筆移轉
RPUPMLPKOHLGFDQ67DA,21,7.92,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,持分移轉
RPUPMLPKOHLGFDQ67DA,21,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,三層 陽台,全筆移轉
RPSNMLPLOHLGFCQ27DA,34,10.16,共有部分,鋼筋混凝土造,81年11月30日,地下層,,持分移轉
RPSNMLPLOHLGFCQ27DA,34,101.23,住家用,鋼筋混凝土造,81年11月30日,五層,五層 陽台,全筆移轉
RPSNMLPLOHLGFCQ27DA,34,6.94,共有部分,鋼筋混凝土造,81年11月30日,五層,,持分移轉
RPPNMLSKOHLGFDQ37EA,33,196.30,住家用,鋼筋混凝土造,82年3月6日,四層,一層 二層 三層 四層 地下層 見其他登記事項,全筆移轉
