編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLSJOHLGFCQ17CC,5,29.54,住家用,鋼筋混凝土造,110年2月2日,三層,,
RPQNMLTJOHLGFCQ37CC,29,83.20,集合住宅,鋼筋混凝土造,85年12月3日,五層,,
RPPNMLLJOHLGFBQ98CC,20,165.89,店舖、停車空間、集合住宅,鋼筋混凝土造,95年8月28日,三層,,
RPQNMLTJOHLGFCQ37CC,29,29.81,共有部分,鋼筋混凝土造,85年12月3日,五層,,
RPQNMLTLNHLGFCQ47CC,45,111.72,住家用,鋼筋混凝土加強磚造,70年10月15日,二層,,
RPPNMLPJOHLGFCQ86CC,29,25.64,集合住宅,鋼筋混凝土造,85年12月3日,五層,,
RPPNMLMJOHLGFCQ56CC,34,156.40,住商用,鋼筋混凝土造,81年6月30日,三層,,
RPPNMLPJOHLGFCQ86CC,29,11.53,共有部分,鋼筋混凝土造,85年12月3日,五層,,
RPPNMLTLNHLGFCQ37CC,2,58.96,集合住宅,鋼筋混凝土造,112年12月13日,六層,,
RPPNMLTLNHLGFCQ37CC,2,12.34,本共有部分之項目有停車空間、管理委員會使用空間、機電設備、昇降機、梯廳、戶外安全梯、電信室、樓梯間等８項。,鋼筋混凝土造,112年12月13日,六層,,
RPRNMLPJOHLGFCQ07CC,32,192.87,住商用,鋼筋混凝土加強磚造,83年2月1日,四層,,
RPPNMLNJOHLGFBQ56CC,9,34.27,集合住宅,鋼筋混凝土造,106年4月18日,五層,,
RPPNMLNJOHLGFBQ56CC,9,21.43,本共有部分之主要用途計有：停車空間、機電設備空間、貯藏室、大廳、管委會空間等５項,鋼筋混凝土造,106年4月18日,五層,,
RPQNMLMJOHLGFDQ76CC,35,199.12,住工用,鋼筋混凝土造,80年2月12日,二層,,
RPPNMLRLNHLGFDQ27CC,21,15.37,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLTLNHLGFEQ57CC,33,191.08,住家用,鋼筋混凝土造,82年3月8日,四層,,
RPPNMLRLNHLGFDQ27CC,21,6.84,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPTNMLLJOHLGFDQ96CC,35,161.02,住家用,鋼筋混凝土造,80年4月16日,三層,,
RPPNMLNJOHLGFEQ86CC,33,118.55,住家用,鋼筋混凝土造,82年4月1日,十八層,,
RPQNMLRLNHLGFDQ37CC,2,63.80,集合住宅,鋼筋混凝土造,113年8月21日,十一層,,
RPPNMLNJOHLGFEQ86CC,33,19.59,梯間,鋼筋混凝土造,82年4月1日,十八層,,
RPQNMLRLNHLGFDQ37CC,2,54.49,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,
RPPNMLNJOHLGFEQ86CC,33,5.61,守衛室．健身房．游泳池．防空避難室兼停車場,鋼筋混凝土造,82年4月1日,,,
RPSNMLLJOHLGFDQ86CC,2,48.51,集合住宅,鋼筋混凝土造,113年8月21日,十一層,,
RPSNMLLJOHLGFDQ86CC,2,29.25,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,
RPPNMLQLNHLGFDQ17CC,7,223.85,停車空間、住宅,鋼筋混凝土造,108年1月21日,三層,,
RPPNMLLJOHLGFEQ66CC,33,182.55,住家用,鋼筋混凝土造,82年3月5日,三層,,
RPPNMLTJOHLGFDQ37CC,3,52.64,店鋪、住宅、停車空間,鋼筋混凝土造,112年11月28日,三層,,
RPQNMLSKOHLGFDQ47CC,31,196.35,住家用,鋼筋混凝土造,84年10月17日,四層,,
RPSNMLPKOHLGFDQ37CC,2,64.35,集合住宅,鋼筋混凝土造,113年8月21日,十一層,,
RPSNMLPKOHLGFDQ37CC,2,54.85,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,
RPRNMLKKOHLGFDQ76CC,2,59.80,集合住宅,鋼筋混凝土造,113年8月21日,十一層,,
RPRNMLKKOHLGFDQ76CC,2,52.29,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,
