鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
高樹鄉,土地,長興段493地號,33.6,,一般農業區,殯葬用地,1150604,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,190000,5655,,0.0,0,,RPRNMLKKOHLGFBT76DA,0.0,0.0,0.0,無,001
萬巒鄉,土地,萬金段188地號,297.99,,鄉村區,乙種建築用地,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3550000,11913,,0.0,0,未登記建物；,RPWNMLMKOHLGFCT57DA,0.0,0.0,0.0,無,002
內埔鄉,土地,富田段87地號,108.67,,鄉村區,乙種建築用地,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,360000,3313,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLQKOHLGFCT77DA,0.0,0.0,0.0,無,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉康寧路１５０號十樓之二,21.78,住,,,1150608,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850131,140.09,3,2,2,有,有,4100000,29267,坡道平面,0.0,0,,RPOOMLQKOHLGFCT27DA,78.82,0.0,10.33,有,
琉球鄉,土地,花矸段564-42地號,197.56,都市：其他:綜合遊憩區,,,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,3037,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLPKOHLGFDT67DA,0.0,0.0,0.0,無,
東港鎮,土地,福德段835-1地號,5.5,住,,,1150611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,110000,20000,,0.0,0,土地增值稅4883元登記費95元印花稅95元代辦費10000元共計15073元由買方負擔親友、員工、共有人或其他特殊關係間之交易；,RPUNMLPKOHLGFDT77DA,0.0,0.0,0.0,無,
滿州鄉,土地,束段118地號,392.67,,國家公園區,,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1850000,4711,,0.0,0,,RPRNMLLKOHLGFET17DA,0.0,0.0,0.0,無,
獅子鄉,土地,獅子段1120-3地號,11074.4,,山坡地保育區,林業用地,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,36,,0.0,0,,RPPNMLQKOHLGFFT57DA,0.0,0.0,0.0,無,
萬丹鄉,土地,萬興段985地號,48.75,,鄉村區,乙種建築用地,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,20513,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRKOHLGFAT27EA,0.0,0.0,0.0,無,
