編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLRKOHLGFDT97DA,47,114.91,住家用,加強磚造,68年1月18日,二層,一層 二層 騎樓,全筆移轉
RPUNMLPKOHLGFET87DA,48,97.30,住家用,加強磚造,67年6月30日,二層,一層 二層 屋頂突出物,全筆移轉
RPOOMLQKOHLGFCT27DA,30,50.94,水箱．機械室．樓梯間．開放空間．防空避難室．停車空間,鋼筋混凝土造,85年1月31日,十二層,,持分移轉
RPVNMLRKOHLGFCT97DA,4,16.06,本共有部分之項目有法定騎樓、管委會使用空間、停車空間、電信室及樓梯間等五項。,鋼筋混凝土構造,111年8月3日,五層,,持分移轉
RPOOMLQKOHLGFCT27DA,30,89.15,住家用,鋼筋混凝土造,85年1月31日,十二層,十層 陽台,全筆移轉
RPVNMLRKOHLGFCT97DA,4,48.44,集合住宅,鋼筋混凝土構造,111年8月3日,五層,四層 陽台,全筆移轉
RPRNMLSKOHLGFBT57DA,12,196.98,農舍,加強磚造,103年10月17日,一層,一層,全筆移轉
RPQNMLNLOHLGFCT17DA,22,6.32,見使用執照,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPQNMLNLOHLGFCT17DA,22,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPQNMLNLOHLGFCT17DA,22,1.11,見使用執照,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPQNMLNLOHLGFCT17DA,22,11.95,見使用執照,鋼筋混凝土造,93年7月12日,六層,五層 陽台,全筆移轉
RPTNMLRKOHLGFCT77DA,,19.49,本共有部分之項目有停車空間、電信室及樓梯間等三項。,鋼筋混凝土造,114年11月28日,五層,,持分移轉
RPTNMLRKOHLGFCT77DA,,83.10,集合住宅,鋼筋混凝土造,114年11月28日,五層,二層 陽台,全筆移轉
RPRNMLSKOHLGFCT67DA,43,91.60,住宅,加強磚造,72年4月22日,一層,一層 騎樓,全筆移轉
