鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
內埔鄉,租賃房屋+車位,屏東縣內埔鄉興安街１０１號二樓之２,0.0,,,,1150521,土地0建物1車位1,二層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1080812,128.59,3,2,2,有,有,有,17000,132,一樓平面,0.0,2000,,RPPNMLMLNHLGFCT96CC,整棟(戶)出租,無,1150604~1160603,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
屏東市,租賃房屋,屏東縣屏東市信義路２３５號,0.0,,,,1150522,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0821209,41.54,1,0,1,有,無,有,10000,241,,0.0,0,,RPPNMLPLNHLGFAT07CC,分層出租,無,1150523~1160522,無,冷氣、熱水器、洗衣機、冰箱、網路,
屏東市,租賃房屋+車位,屏東縣屏東市華盛街２１號１３樓之３,0.0,,,,1150526,土地0建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0930909,169.89,3,2,2,有,有,有,18000,106,坡道平面,0.0,0,,RPQNMLQLNHLGFAT27CC,整棟(戶)出租,有,1150526~1160525,有,冷氣、熱水器,社會住宅包租轉租
屏東市,租賃房屋+車位,屏東縣屏東市歸智路１１０巷３號十二樓之６,0.0,,,,1150525,土地0建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1131211,103.59,2,2,1,有,有,有,20000,193,坡道平面,24.13,0,,RPRNMLQLNHLGFAT37CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
屏東市,租賃房屋,屏東縣屏東市廣興２０３號三樓之一,0.0,,,,1150522,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1131009,99.98,3,1,2,有,有,無,17000,170,,0.0,0,未租賃車位，建物登記含有車位面積；續租案件；,RPTNMLQLNHLGFAT57CC,整棟(戶)出租,有,1150525~1160524,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
內埔鄉,租賃房屋,屏東縣內埔鄉龍美路４１號,0.0,,,,1150526,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0651231,74.4,3,1,1,有,無,無,5000,67,,0.0,0,,RPPOMLQLNHLGFCT47CC,整棟(戶)出租,無,1150601~1180531,無,熱水器,社會住宅代管
屏東市,租賃房屋,屏東縣屏東市廣東路１５８６巷１弄９８號,0.0,,,,1150524,土地0建物1車位0,全,4,透天厝,住宅、機械房,鋼筋混凝土造,0891230,179.36,4,2,3,有,有,有,14500,81,,0.0,0,,RPPNMLSLNHLGFAT37CC,整棟(戶)出租,無,1150525~1160524,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
屏東市,租賃房屋,屏東縣屏東市建國路１１９巷１之９號,0.0,,,,1150527,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790806,18.0,7,0,7,有,無,有,8000,444,,0.0,0,租金總額含網路費；含增建或未登記建物；租賃建物部分範圍，且未計入共有部分面積；,RPQNMLSLNHLGFAT47CC,分租套房,無,1150528~1160527,無,冷氣、熱水器、電視機、冰箱、網路,一般轉租
屏東市,租賃房屋,屏東縣屏東市清進路８２８巷１８號,0.0,,,,1150526,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0850110,181.0,5,2,4,有,無,有,15700,87,,0.0,0,續租案件；,RPRNMLSLNHLGFAT57CC,整棟(戶)出租,無,1150530~1160529,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
屏東市,租賃房屋,屏東縣屏東市崇德一路８２之２號三樓之一,0.0,,,,1150526,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110422,118.07,3,2,2,有,有,有,17000,144,,0.0,0,未租賃車位，建物登記含有車位面積；續租案件；,RPSNMLSLNHLGFAT67CC,整棟(戶)出租,無,1150610~1160609,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
屏東市,租賃房屋,屏東縣屏東市清寧街２６號５樓之１,0.0,,,,1150526,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840525,95.02000000000001,2,1,1,有,有,有,9000,95,,0.0,0,續租案件；,RPTNMLSLNHLGFAT77CC,整棟(戶)出租,有,1150610~1160609,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
屏東市,租賃房屋,屏東縣屏東市建國路２８９巷１７號,0.0,,,,1150527,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,,88.2,3,1,1,有,無,有,10000,113,,0.0,0,續租案件；,RPUNMLSLNHLGFAT87CC,整棟(戶)出租,無,1150705~1160704,無,冷氣,社會住宅包租轉租
屏東市,租賃房屋,屏東縣屏東市復興南路一段２３１巷８之２號,0.0,,,,1150526,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0730316,72.28,3,2,2,有,無,有,12000,166,,0.0,0,續租案件；,RPVNMLSLNHLGFAT97CC,整棟(戶)出租,無,1150621~1160620,無,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
屏東市,租賃房屋,屏東縣屏東市和生路一段８４號１３樓,0.0,,,,1150526,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0900118,116.79,3,1,2,有,有,有,14500,124,,0.0,0,續租案件；,RPWNMLSLNHLGFAT08CC,整棟(戶)出租,有,1150624~1160623,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租
潮州鎮,租賃房屋,屏東縣潮州鎮愛國路１３１巷８號三樓,0.0,,,,1150528,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1120309,73.50999999999999,2,1,2,有,有,有,14000,190,,0.0,0,,RPRNMLSLNHLGFCT77CC,整棟(戶)出租,無,1150601~1160531,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
東港鎮,租賃房屋,屏東縣東港鎮興東路６８之２６號五樓之七,0.0,,,,1150525,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120526,88.0,2,1,2,有,有,有,13800,157,,0.0,0,未租賃車位，建物登記含有車位面積；,RPPNMLSLNHLGFDT67CC,整棟(戶)出租,有,1150525~1160524,有,冷氣、熱水器、電視機、瓦斯或天然氣,社會住宅包租轉租
東港鎮,租賃房屋,屏東縣東港鎮沿海路３８０號六樓,0.0,,,,1150526,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820721,136.03,3,2,2,有,有,有,11500,85,,0.0,0,未租賃車位，建物登記含有車位面積；續租案件；,RPRNMLSLNHLGFDT87CC,整棟(戶)出租,有,1150623~1160622,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
恆春鎮,租賃房屋,屏東縣恆春鎮恆南路１２５巷３２號二樓之十八,0.0,,,,1150527,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830817,42.76,1,0,1,有,有,有,6500,152,,0.0,0,,RPPNMLSLNHLGFET77CC,獨立套房,有,1150601~1160531,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
屏東市,租賃房屋,屏東縣屏東市民和二路４８-８號８樓,0.0,,,,1150524,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0960530,20.07,1,0,1,有,有,有,4000,199,,0.0,0,含增建或未登記建物；,RPPNMLTLNHLGFAT47CC,獨立套房,有,1150524~1160523,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
