編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPOMLQLNHLGFCT47CC,49,74.40,住家用,加強磚造,65年12月31日,二層,,
RPRNMLSLNHLGFCT77CC,3,53.58,集合住宅,鋼筋混凝土構造,112年3月9日,五層,,
RPRNMLSLNHLGFCT77CC,3,19.93,本共有部分之項目有停車空間、樓梯間、電信室、機械房及水箱等五項。,鋼筋混凝土構造,112年3月9日,五層,,
RPPNMLSLNHLGFDT67CC,3,56.95,集合住宅,鋼筋混凝土造,112年5月26日,八層,,
RPPNMLSLNHLGFDT67CC,3,31.05,本共有部分之項目有樓梯間、停車空間、機電空間、管委會使用空間、電梯間、機械室、水箱等７項,鋼筋混凝土造,112年5月26日,八層,,
RPQNMLTLNHLGFCT77CC,22,12.33,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPQNMLTLNHLGFCT77CC,22,6.50,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPQNMLTLNHLGFCT77CC,22,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,
RPRNMLTLNHLGFCT87CC,22,11.95,辦公室,鋼筋混凝土構造,93年7月12日,六層,,
RPRNMLTLNHLGFCT87CC,22,6.32,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPRNMLTLNHLGFCT87CC,22,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,
RPTNMLSLNHLGFAT77CC,31,68.95,住家用,鋼筋混凝土造,84年5月25日,十二層,,
RPTNMLSLNHLGFAT77CC,31,26.07,樓梯間，防空避難室兼停車空間,鋼筋混凝土造,84年5月25日,,,
RPPNMLSLNHLGFET77CC,32,27.13,住家用,鋼筋混凝土造,83年8月17日,七層,,
RPPNMLSLNHLGFET77CC,32,15.63,共同部份,鋼筋混凝土造,83年8月17日,七層,,
RPUNMLSLNHLGFAT87CC,,88.20,住家用,鋼筋混凝土加強磚造,,二層,,
RPRNMLSLNHLGFAT57CC,30,181.00,住家用,鋼筋混凝土造,85年1月10日,四層,,
RPVNMLSLNHLGFAT97CC,42,61.17,國民住宅,鋼筋混凝土造,73年3月16日,五層,,
RPVNMLSLNHLGFAT97CC,42,11.11,共同部份,鋼筋混凝土造,73年3月16日,,,
RPSNMLSLNHLGFAT67CC,4,78.42,集合住宅,鋼筋混凝土造,111年4月22日,五層,,
RPSNMLSLNHLGFAT67CC,4,39.65,停車空間、管委會使用空間、電信室、樓梯間、機械室,鋼筋混凝土造,111年4月22日,五層,,
RPQNMLSLNHLGFAT47CC,36,18.00,住家用,鋼筋混凝土造,79年8月6日,四層,,
RPPNMLSLNHLGFAT37CC,25,131.83,住宅、機械房,鋼筋混凝土造,89年12月30日,四層,,
RPPNMLSLNHLGFAT37CC,25,47.53,停車空間,鋼筋混凝土造,89年12月30日,四層,,
RPTNMLTLNHLGFCT08CC,49,60.75,住商用,鋼筋混凝土造,66年10月27日,三層,,
RPRNMLSLNHLGFDT87CC,33,103.44,住家用,鋼筋混凝土造,82年7月21日,七層,,
RPRNMLSLNHLGFDT87CC,33,18.11,梯間,鋼筋混凝土造,82年7月21日,,,
RPRNMLSLNHLGFDT87CC,33,14.48,防空避難停車場,鋼筋混凝土造,82年7月21日,,,
RPUNMLTLNHLGFCT18CC,31,94.82,住家用,鋼筋混凝土造,84年1月19日,十二層,,
RPUNMLTLNHLGFCT18CC,31,11.74,防空避難室停車空間樓梯間機械室水箱,鋼筋混凝土造,84年1月19日,十二層,,
RPPNMLLJOHLGFCT76CC,22,11.57,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPPNMLLJOHLGFCT76CC,22,5.80,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPPNMLLJOHLGFCT76CC,22,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,
RPRNMLLJOHLGFCT96CC,22,11.57,辦公室,鋼筋混凝土構造,93年7月12日,六層,,
RPRNMLLJOHLGFCT96CC,22,5.80,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPRNMLLJOHLGFCT96CC,22,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,
RPVNMLLJOHLGFCT37CC,39,100.36,住家用,鋼筋混凝土造,76年7月21日,五層,,
RPSNMLLJOHLGFCT07CC,22,11.94,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPSNMLLJOHLGFCT07CC,22,6.32,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPSNMLLJOHLGFCT07CC,22,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,
RPPNMLTLNHLGFFT97CC,43,86.73,住家用,加強磚造,72年3月25日,二層,,
RPTNMLLJOHLGFCT17CC,46,78.40,住商用,鋼筋混凝土造,68年12月14日,二層,,
RPPNMLMLNHLGFCT96CC,7,87.95,集合住宅,鋼筋混凝土構造,108年8月12日,五層,,
RPPNMLMLNHLGFCT96CC,7,40.64,本共有部分之項目有停車空間及樓梯間等二項。,鋼筋混凝土構造,108年8月12日,五層,,
RPTNMLPJOHLGFCT57CC,10,18.79,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPTNMLPJOHLGFCT57CC,10,11.20,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPUNMLPJOHLGFCT67CC,10,19.80,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPUNMLPJOHLGFCT67CC,10,11.75,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPSNMLPJOHLGFCT47CC,10,18.96,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPSNMLPJOHLGFCT47CC,10,11.30,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPPNMLPJOHLGFCT17CC,10,19.47,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPPNMLPJOHLGFCT17CC,10,11.57,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPROMLPJOHLGFCT47CC,2,88.12,集合住宅,鋼筋混凝土造,113年11月4日,五層,,
RPROMLPJOHLGFCT47CC,2,35.95,本共有部分之項目有電信室、停車空間、公共梯間、樓梯間及機械室等五項。,鋼筋混凝土造,113年11月4日,五層,,
