鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
花蓮市,租賃房屋,花蓮縣花蓮市國富三街２４號,0.0,,,,1150521,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0770517,154.58,4,2,2,有,無,無,18000,116,,0.0,0,,RPQNMLLLNHLGFAU86CC,整棟(戶)出租,無,1150601~1160531,無,冷氣、冰箱,
花蓮市,租賃房屋,花蓮縣花蓮市林森路２９３巷３８號,0.0,,,,1150522,土地0建物0車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0640322,15.0,6,0,6,有,無,有,4500,300,,0.0,0,,RPSNMLPLNHLGFAU47CC,分租套房,無,1150523~1160522,無,冷氣、熱水器、電視機、冰箱、有線電視,一般轉租
吉安鄉,租賃房屋,花蓮縣吉安鄉昌隆三街１１１號三樓之二,0.0,,,,1150522,土地0建物1車位0,三層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140630,101.35,2,1,2,有,有,有,18000,178,,0.0,0,,RPRNMLQLNHLGFAU47CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
花蓮市,租賃房屋,花蓮縣花蓮市國盛四街５１號八樓之十,0.0,,,,1150522,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830811,54.17,1,1,1,有,有,有,8000,148,,0.0,0,,RPSNMLQLNHLGFAU57CC,獨立套房,有,1150525~1170524,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
花蓮市,租賃房屋,花蓮縣花蓮市建中街１８號,0.0,,,,1150522,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0660617,164.62,3,1,3,有,無,有,14000,85,,0.0,0,,RPVNMLQLNHLGFAU87CC,整棟(戶)出租,無,1150601~1180531,無,冷氣、熱水器,社會住宅包租轉租
花蓮市,租賃房屋,花蓮縣花蓮市建林街１０７號５樓,0.0,,,,1150522,土地0建物0車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1131218,16.52,4,0,4,有,無,有,12000,726,,0.0,0,,RPQOMLQLNHLGFAU47CC,分租套房,無,1150621~1160620,有,冷氣、熱水器、洗衣機、冰箱、網路,
花蓮市,租賃房屋,花蓮縣花蓮市國富十街１０７號,0.0,,,,1150526,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0730922,196.81,0,0,0,無,無,無,33000,168,,0.0,0,,RPROMLQLNHLGFAU57CC,,無,1150801~1220731,無,,
花蓮市,租賃房屋,花蓮縣花蓮市國富十街１３６號四樓之六,0.0,,,,1150522,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850130,63.410000000000004,2,1,1,有,無,有,9000,142,,0.0,0,,RPPNMLRLNHLGFAU37CC,整棟(戶)出租,無,1150616~1160615,有,冷氣、熱水器,社會住宅包租轉租
花蓮市,租賃房屋,花蓮縣花蓮市裕民路１３５號,0.0,,,,1150522,土地0建物0車位0,全,3,透天厝,住家用,鋼鐵﹝鋼骨﹞造有牆,0950102,19.84,8,0,8,有,無,有,4800,242,,0.0,0,,RPVNMLRLNHLGFAU97CC,分租套房,無,1150801~1151231,有,冷氣、電視機,一般轉租
花蓮市,租賃房屋,花蓮縣花蓮市裕民路１３５號,0.0,,,,1150522,土地0建物0車位0,全,3,透天厝,住家用,鋼鐵﹝鋼骨﹞造有牆,0950102,19.84,8,0,8,有,無,有,4800,242,,0.0,0,,RPWNMLRLNHLGFAU08CC,分租套房,無,1150601~1150731,有,冷氣、電視機,一般轉租
