鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
台東市,房地(土地+建物),臺東縣台東市南一街４８巷１號五樓之五,29.71,住,,,1150604,土地1建物1車位0,見其他登記事項,五層,華廈(10層含以下有電梯),住家用,ＲＣ造,1090724,75.9,2,1,1,有,有,5500000,72464,,0.0,0,,RPUNMLQKOHLGFAV77DA,52.04,3.82,0.0,有,01
東河鄉,土地,福亨段160地號,3986.0,,森林區,農牧用地,1150612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,125,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRKOHLGFBV47DA,0.0,0.0,0.0,無,
大武鄉,土地,大鳥段692地號,11340.0,,山坡地保育區,林業用地,1150606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,62,,0.0,0,,RPTNMLLKOHLGFDV47DA,0.0,0.0,0.0,無,
池上鄉,土地,萬朝段266-1地號,5115.82,,一般農業區,農牧用地,1150606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4350000,850,,0.0,0,本期農作物由賣方收割。農作物；,RPPNMLRKOHLGFCV67EA,0.0,0.0,0.0,無,
海端鄉,土地,里高萬段81地號,27799.04,,山坡地保育區,農牧用地,1150609,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1250956,45,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSKOHLGFCV77EA,0.0,0.0,0.0,無,
關山鎮,土地,里段1123地號,1959.34,農,,,1150615,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3200000,1633,,0.0,0,,RPPNMLMLOHLGFCV17DA,0.0,0.0,0.0,無,
海端鄉,土地,紅石段25地號,3880.0,,山坡地保育區,林業用地,1150612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,240000,62,,0.0,0,,RPQNMLMLOHLGFCV37EA,0.0,0.0,0.0,無,
台東市,建物,臺東縣台東市上海街７１號地下一樓,0.0,,,,1150608,土地0建物1車位0,見其他登記事項,七層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,0820817,296.65,0,0,0,無,無,1450000,4888,,0.0,0,建物坐落地號：台東段2045地號；,RPQNMLRKOHLGFAV47DA,221.93,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市開封街３２０號,156.0,住,,,1150602,土地2建物1車位0,全,四層,透天厝,住家用,ＲＣ造,1121024,310.85,5,1,6,有,無,35000000,112594,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRKOHLGFAV47EA,290.39,20.46,0.0,有,02
