編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLRKOHLGFAV47EA,3,310.85,Ｇ３店鋪、Ｈ２住宅,ＲＣ造,112年10月24日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPSNMLNLOHLGFDV67DA,33,35.56,出租套房,鋼筋混凝土造,82年11月8日,八層,四層 陽台,全筆移轉
RPSNMLNLOHLGFDV67DA,33,13.01,出租套房、通道、停車場、避難室．屋頂突出物,鋼筋混凝土造,82年11月8日,八層,,持分移轉
RPPNMLKLOHLGFCV96DA,9,215.25,Ｈ２住宅,鋼骨造,106年1月23日,二層,一層 二層,全筆移轉
RPPNMLMKOHLGFDV27EA,28,35.30,商業用,鋼筋混凝土造,87年3月6日,十五層,十層 陽台,全筆移轉
RPPNMLMKOHLGFDV27EA,28,35.80,商業用,鋼筋混凝土造,87年3月6日,十五層,十五層 露台,全筆移轉
RPPNMLMKOHLGFDV27EA,28,1.12,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLMKOHLGFDV27EA,28,1.18,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLMKOHLGFDV27EA,28,7.21,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLMKOHLGFDV27EA,28,7.62,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,,持分移轉
RPPNMLMKOHLGFDV27EA,28,5.57,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,,持分移轉
RPPNMLMKOHLGFDV27EA,28,5.87,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,,持分移轉
RPRNMLQJNHLGFAV27DA,11,318.05,住家用,ＲＣ造,103年12月8日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPVNMLSJOHLGFAV97DA,1,95.97,Ｈ２集合住宅,鋼筋混凝土造,114年1月15日,十四層,三層 見其他登記事項,全筆移轉
RPVNMLSJOHLGFAV97DA,1,81.69,Ｈ２集合住宅（共有部份）,鋼筋混凝土造,114年1月15日,十四層,,持分移轉
RPQNMLRKOHLGFAV47DA,33,221.93,地下室．停車場,鋼筋混凝土造,82年8月17日,七層,見其他登記事項,全筆移轉
RPPNMLMLOHLGFAV96DA,43,102.32,集合住宅,鋼筋混凝土造,72年2月22日,四層,二層 陽台,全筆移轉
RPQNMLRKOHLGFAV47DA,33,16.58,樓梯間．公共設施（共同使用）,鋼筋混凝土造,82年8月17日,七層,,持分移轉
RPPNMLMLOHLGFAV96DA,43,7.78,國民住宅走道,鋼筋混凝土造,72年2月22日,四層,,持分移轉
RPQNMLRKOHLGFAV47DA,33,10.19,樓梯間．機械室．水管室．公共設施（共同使用）,鋼筋混凝土造,82年8月17日,七層,,持分移轉
RPQNMLRKOHLGFAV47DA,33,12.11,樓梯間．公共設施（共同使用）,鋼筋混凝土造,82年8月17日,七層,,持分移轉
RPQNMLRKOHLGFAV47DA,33,35.83,防空避難室．公共設施兼地下室．停車場（共同使用）,鋼筋混凝土造,82年8月17日,七層,,持分移轉
RPSNMLOJOHLGFAV27DA,30,198.54,住家用,鋼筋混凝土造,85年2月16日,三層,一層 二層 三層 騎樓 見其他登記事項,全筆移轉
RPSNMLMKOHLGFAV17DA,46,98.20,住家用,鋼筋混凝土造,69年4月12日,二層,一層 二層,全筆移轉
RPUNMLPJOHLGFAV57DA,31,58.46,集合住宅,鋼筋混凝土造,84年6月1日,五層,三層 見其他登記事項,全筆移轉
RPRNMLMLOHLGFAV17DA,20,72.46,住家用,ＲＣ造,95年3月1日,一層,一層,全筆移轉
RPUNMLPJOHLGFAV57DA,31,6.96,停車空間．兼儲藏室（共同使用）,鋼筋混凝土造,84年6月1日,五層,,持分移轉
RPUNMLPJOHLGFAV57DA,31,6.27,樓梯．水箱．蓄水池共同使用,鋼筋混凝土造,84年6月1日,五層,,持分移轉
RPVNMLQJNHLGFAV67DA,47,96.76,住家用,加強磚造,68年8月20日,二層,一層 二層,全筆移轉
RPSNMLOLOHLGFAV47DA,,189.31,Ｈ２住宅,鋼筋混凝土造,115年4月9日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPTNMLOLOHLGFAV57DA,,189.47,Ｈ２住宅,鋼筋混凝土造,115年4月9日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPRNMLMJOHLGFAV96DA,30,157.70,住家用,鋼筋混凝土造,85年4月25日,三層,一層 二層 三層 陽台,全筆移轉
RPRNMLKKOHLGFBV96DA,54,162.52,住家用,鋼筋混凝土加強磚造,61年3月30日,三層,一層 二層 三層 騎樓,全筆移轉
RPUNMLQKOHLGFAV77DA,6,55.86,Ｈ２集合住宅,ＲＣ造,109年7月24日,五層,見其他登記事項 見其他登記事項,全筆移轉
RPUNMLQKOHLGFAV77DA,6,20.04,共同使用部份,ＲＣ造,109年7月24日,五層,,持分移轉
RPPNMLQKOHLGFCV47DA,37,365.53,住商用,鋼筋混凝土造,78年4月29日,四層,一層 二層 三層 四層 騎樓,全筆移轉
RPUNMLRKOHLGFAV87DA,31,272.80,人行．店舖．辦公廳,鋼筋混凝土造,84年7月21日,五層,一層 二層 三層 四層 五層 騎樓 見其他登記事項,全筆移轉
RPUNMLRKOHLGFAV87DA,31,29.29,走廊,鋼筋混凝土造,84年7月21日,二層,,持分移轉
RPQNMLOJOHLGFAV07DA,32,20.51,避難室，電梯．樓梯．地下室．通廊共同使用,鋼筋混凝土造,83年4月19日,十四層,,持分移轉
RPQNMLOJOHLGFAV07DA,32,65.78,集合住宅,鋼筋混凝土造,83年4月19日,十四層,四層 陽台,全筆移轉
RPXNMLNJOHLGFAV67DA,,51.45,Ｈ２集合住宅,鋼筋混凝土造,114年12月26日,五層,二層 見其他登記事項,全筆移轉
RPXNMLNJOHLGFAV67DA,,12.97,共有部分,鋼筋混凝土造,114年12月26日,五層,,持分移轉
RPQNMLSKOHLGFDV97EA,50,77.35,商業用,加強磚造,65年7月15日,一層,一層 走廊,全筆移轉
RPQNMLSKOHLGFDV97EA,50,77.35,商業用,加強磚造,65年7月15日,一層,一層 走廊,全筆移轉
