鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
金寧鄉,土地,寧古劃段782地號,1000.0,都市：其他:第二類一般管制區,,,1150608,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2200000,2200,,0.0,0,,RPPNMLSJOHLGFAW47DA,0.0,0.0,0.0,無,
金湖鎮,土地,料羅村測段115地號,404.06,都市：其他:自然村專用區,,,1150609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,3960,,0.0,0,,RPPNMLQKOHLGFAW47EA,0.0,0.0,0.0,無,
金寧鄉,土地,機場段128地號,736.25,,,,1150609,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1148020,1559,,0.0,0,,RPPNMLTJOHLGFAW57DA,0.0,0.0,0.0,無,
金湖鎮,土地,湖東劃段464地號,370.33,農,,,1150610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,2430,,0.0,0,,RPPNMLMLOHLGFAW17EA,0.0,0.0,0.0,無,
金城鎮,房地(土地+建物),金門縣金城鎮賢聚４２之８號,65.58,都市：其他:自然村專用區,,,1150601,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1070213,112.61,3,2,2,有,無,8300000,73706,,0.0,0,,RPRNMLTJOHLGFAW77DA,96.67,0.0,8.73,無,01
金湖鎮,土地,湖后劃段497地號,100.0,農,,,1150615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,390000,3900,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQKOHLGFAW47DA,0.0,0.0,0.0,無,
金湖鎮,土地,夏興段576地號,559.24,都市：其他:第二類一般管制區,,,1150608,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,1252,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPLOHLGFAW37DA,0.0,0.0,0.0,無,
金沙鎮,土地,北九十劃段452地號,992.13,農,,,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6800000,6854,,0.0,0,,RPPNMLNJOHLGFAW96DA,0.0,0.0,0.0,無,02
烈嶼鄉,房地(土地+建物),金門縣烈嶼鄉八青三路６０號２樓之２,34.72,住,,,1150605,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130819,118.37,3,2,2,有,有,7000000,59137,,0.0,0,,RPRNMLSJOHLGFAW67DA,88.66,0.0,8.6,有,
