鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
湖西鄉,房地(土地+建物),澎湖縣湖西鄉南寮１２０之７號,127.76,,一般農業區,甲種建築用地,1150611,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0860508,184.03,5,2,3,有,無,5200000,28256,,0.0,0,,RPUNMLLKOHLGFAX47DA,179.53,4.5,0.0,無,01
湖西鄉,土地,葉新段779地號,184.0,,鄉村區,遊憩用地,1150616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1288000,7000,,0.0,0,地清或未辦繼承標售；,RPPNMLSKOHLGFAX67DA,0.0,0.0,0.0,無,
湖西鄉,土地,尖山南段540地號,376.71,,一般農業區,農牧用地,1150615,土地8建物0車位0,,,其他,,,,0.0,0,0,0,無,無,696992,1850,,0.0,0,,RPPNMLMLOHLGFAX27EA,0.0,0.0,0.0,無,02
馬公市,土地,烏崁新段246-1地號,170.08,,一般農業區,水利用地,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2248458,13220,,0.0,0,政府機關標讓售；,RPQNMLMLOHLGFAX37EA,0.0,0.0,0.0,無,
馬公市,土地,馬公段582-28地號,6.0,,,,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1061220,176870,,0.0,0,政府機關標讓售；,RPRNMLMLOHLGFAX47EA,0.0,0.0,0.0,無,
湖西鄉,房地(土地+建物),澎湖縣湖西鄉港底２１１之５號,344.86,,一般農業區,甲種建築用地,1150616,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120204,390.11,4,4,5,有,無,17380000,44552,,0.0,0,頂樓加蓋；,RPSNMLMLOHLGFAX47DA,364.52,25.59,0.0,無,03
湖西鄉,土地,尖山南段540地號,376.71,,一般農業區,農牧用地,1150612,土地8建物0車位0,,,其他,,,,0.0,0,0,0,無,無,696992,1850,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLMLOHLGFAX57EA,0.0,0.0,0.0,無,02
西嶼鄉,土地,池東段3619地號,1137.28,,一般農業區,農牧用地,1150612,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2700000,2374,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLRKOHLGFAX97DA,0.0,0.0,0.0,無,
西嶼鄉,土地,赤馬一段1149地號,88.5,,鄉村區,乙種建築用地,1150612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,22599,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLRKOHLGFAX87DA,0.0,0.0,0.0,無,
