編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMLNHLGFAX07DA,20,114.38,集合住宅,鋼筋混凝土造,95年7月10日,十四層,六層 陽台,全筆移轉
RPPNMLMLNHLGFAX07DA,20,72.35,共用部份,鋼筋混凝土造,95年7月10日,十四層,,持分移轉
RPRNMLTKNHLGFAX87DA,8,289.69,住家用,鋼筋混凝土造,106年11月6日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPTNMLKKOHLGFAX27DA,24,190.13,住家用,鋼筋混凝土造,91年7月18日,三層,一層 二層 三層 水箱 見其他登記事項,全筆移轉
RPQNMLMLOHLGFAX27DA,28,132.09,住家用,鋼筋混凝土造,87年7月23日,十層,六層 見其他登記事項,全筆移轉
RPQNMLMLOHLGFAX27DA,28,37.67,見其他登記事項,鋼筋混凝土造,87年7月23日,十層,,持分移轉
RPPNMLOLOHLGFAX37DA,36,129.12,住家用,鋼筋混凝土加強磚造,79年10月15日,二層,一層 二層 電梯樓梯間 夾層,全筆移轉
RPTNMLRLNHLGFAX97DA,1,56.45,集合住宅,鋼筋混凝土造,114年10月20日,六層,四層 見其他登記事項,全筆移轉
RPTNMLRLNHLGFAX97DA,1,23.90,共用部份,鋼筋混凝土造,114年10月20日,六層,,持分移轉
RPPNMLRKOHLGFAX57DA,42,.40,集合住宅,鋼筋混凝土造,73年6月29日,五層,一層,持分移轉
RPPNMLRKOHLGFAX57DA,42,85.85,集合住宅,鋼筋混凝土造,73年6月29日,五層,四層,全筆移轉
RPUNMLLKOHLGFAX47DA,29,184.03,住家用,鋼筋混凝土造,86年5月8日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPSNMLMLOHLGFAX47DA,3,390.11,住家用,鋼筋混凝土造,112年2月4日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPRNMLKKOHLGFAX07DA,4,55.57,集合住宅,鋼筋混凝土造,110年12月7日,五層,三層 見其他登記事項,全筆移轉
RPRNMLKKOHLGFAX07DA,4,20.72,共用部份,鋼筋混凝土造,110年12月7日,五層,,持分移轉
RPSNMLLKOHLGFAX27DA,48,218.57,住商用,鋼筋混凝土造,67年2月14日,四層,一層 二層 三層 四層 電梯樓梯間 地下層,全筆移轉
